# Standard model characteristics
# Scale is applied to the model to correct
# it to observed value.
#
# object   %error  scale
# 
# OC5L
SA92336     3.0    1.0
HIP92396    3.0    1.0
# OC4J
HD370       3.0    1.0
HD5319      3.0    1.0
HD26579     3.0    1.0
HD41695     3.0    1.0
HD58142     3.0    1.0
HD140159    3.0    1.0
HD145454    3.0    1.0
HD199095    3.0    1.0
HD200761    3.0    1.0
HD210433    3.0    1.0
HD216735    3.0    1.0
HD222377    3.0    1.0
HD223581    3.0    1.0
HIP91315    3.0    1.0
HR3163      3.0    1.0
SA113269    3.0    1.0
# pre OC4J
HD118280    3.0    1.0
HD118290    3.0    1.0
HD139308    3.0    1.0
HD139513    3.0    1.0
SA107347    3.0    1.0
HD149845    3.0    1.0
HD172651    3.0    1.0
HD197806    3.0    1.0
HD215141    3.0    1.0
HD222732    3.0    1.0
HD29250     3.0    1.0
HD5319      3.0    1.0
HD62388     3.0    1.0
HD71155     3.0    1.0
HD71264     3.0    1.0
HIP30762    3.0    1.0
HIP38789    3.0    1.0
SA103526    3.0    1.0
SA107484    3.0    1.0
SA1081918   3.0    1.0
SA108475    3.0    1.0
SA109231    3.0    1.0
SA112275    3.0    1.0
SA112595    3.0    1.0
SA113259    3.0    1.0
SA113269    3.0    1.0
SA114548    3.0    1.0
SA114656    3.0    1.0
SA114670    3.0    1.0
SA115516    3.0    1.0
SA94251     3.0    1.0
SAO34401    6.0    1.0
Vega        3.0    1.0
