# INCLUDES BETA PEG NEED TO REDO UNCERTAINTY.
# ALTITUDE = 41000, ZA = 45.00
# SERIES = OC1B
# END_DATE = 2013-07-02
#
#SPECTEL   DICHROIC  REFCALFC   REFCALER
#
# MODE = Single
FOR_F064      0      0.115559   0.004462
FOR_F066      0      0.122903   0.004513
FOR_F077      0      0.254860   0.009806
FOR_F111      0      0.313583   0.015695
FOR_F371      0      0.100734   0.011873
# MODE = Dual Barr2
FOR_F066      1      0.072178   0.003612
FOR_F197      1      0.420685   0.021364
FOR_F253      1      0.106308   0.004797
FOR_F315      1      0.193446   0.007818
FOR_F371      1      0.048665   0.001568
# MODE = DUAL Barr3
FOR_F066      2      0.087053   0.004354
FOR_F077      2      0.207324   0.010369
FOR_F111      2      0.215881   0.006832
FOR_F315      2      0.191033   0.018098
FOR_F371      2      0.043804   0.006567
