# INCLUDES BETA PEG NEED TO REDO UNCERTAINTY
# ALTITUDE = 41000, ZA = 45.00
# SERIES = OC1DF
# END_DATE = 2013-10-25
#
#SPECTEL   DICHROIC  REFCALFC   REFCALER
#
# MODE = Single
FOR_F064      0      0.139474   0.012479
FOR_F066      0      0.135001   0.012879
FOR_F077      0      0.283137   0.021524
FOR_F111      0      0.288780   0.034378
FOR_F197      0      0.447550   0.022412
FOR_F315      0      0.358098   0.018215
FOR_F348      0      0.228833   0.011763
FOR_F371      0      0.115904   0.008240
# MODE = Dual
FOR_F077      1      0.226457   0.011323
FOR_F111      1      0.265168   0.017746
FOR_F197      1      0.403361   0.032143
FOR_F253      1      0.104597   0.008873
FOR_F315      1      0.190713   0.012752
FOR_F371      1      0.046517   0.004681
