# ALTITUDE = 41000, ZA = 45.00
# SERIES = OC2B
# END_DATE = 2014-03-29
#
#SPECTEL   DICHROIC  REFCALFC   REFCALER
#
# MODE = Single
FOR_F054      0      0.216337   0.011338
FOR_F064      0      0.148531   0.007623
FOR_F066      0      0.161638   0.008302
FOR_F077      0      0.324173   0.017083
FOR_F111      0      0.376791   0.028279
FOR_F197      0      0.582677   0.034520
FOR_F253      0      0.166506   0.009029
FOR_F086      0      0.077085   0.003973
FOR_F113      0      0.072902   0.003843
FOR_F118      0      0.215576   0.011615
FOR_F242      0      0.383564   0.020229
FOR_F315      0      0.299413   0.019634
FOR_F336      0      0.079423   0.004816
FOR_F348      0      0.166132   0.009604
FOR_F371      0      0.092106   0.007186
# MODE = Dual
FOR_F054      1      0.014291   0.000728
FOR_F064      1      0.120337   0.006186
FOR_F066      1      0.090463   0.004583
FOR_F077      1      0.235259   0.012638
FOR_F111      1      0.317507   0.016871
FOR_F197      1      0.532283   0.026801
FOR_F253      1      0.142208   0.007723
FOR_F315      1      0.167920   0.009331
FOR_F336      1      0.039525   0.003318
FOR_F348      1      0.094527   0.006201
FOR_F371      1      0.040630   0.003562
