# ALTITUDE = 41000, ZA = 45.00
# SERIES = OC2D
# END_DATE = 2014-05-08
#
#SPECTEL   DICHROIC  REFCALFC   REFCALER
#
# MODE = Single
FOR_F054      0      0.208730   0.016048
FOR_F064      0      0.148321   0.008664
FOR_F066      0      0.158793   0.010295
FOR_F077      0      0.322598   0.020391
FOR_F111      0      0.437760   0.029134
FOR_F197      0      0.575165   0.043602
FOR_F253      0      0.162225   0.011581
FOR_F086      0      0.075762   0.004767
FOR_F113      0      0.072190   0.004538
FOR_F118      0      0.214579   0.013168
FOR_F242      0      0.376577   0.020498
FOR_F315      0      0.305455   0.021093
FOR_F336      0      0.077860   0.005777
FOR_F348      0      0.165889   0.010650
FOR_F371      0      0.094388   0.011473
# MODE = Dual
FOR_F054      1      0.013224   0.000676
FOR_F064      1      0.121662   0.008034
FOR_F066      1      0.089501   0.006073
FOR_F077      1      0.234112   0.015798
FOR_F111      1      0.346313   0.039240
FOR_F197      1      0.527860   0.029470
FOR_F253      1      0.138173   0.010031
FOR_F315      1      0.163742   0.015728
FOR_F336      1      0.037314   0.005545
FOR_F348      1      0.095728   0.008230
FOR_F371      1      0.042064   0.006712
