# ALTITUDE = 41000, ZA = 45.00
# SERIES = OC2F
# END_DATE = 2014-06-13
#
#SPECTEL   DICHROIC  REFCALFC   REFCALER
#
# MODE = Single
FOR_F054      0      0.214702   0.010781
FOR_F064      0      0.148186   0.008213
FOR_F066      0      0.157653   0.008690
FOR_F077      0      0.327283   0.017778
FOR_F111      0      0.444118   0.022976
FOR_F197      0      0.593253   0.030559
FOR_F253      0      0.160082   0.008671
FOR_F086      0      0.052469   0.002750
FOR_F113      0      0.055973   0.002915
FOR_F118      0      0.145774   0.007333
FOR_F242      0      0.236827   0.011849
FOR_F315      0      0.184305   0.011690
FOR_F336      0      0.052312   0.006824
FOR_F348      0      0.102253   0.006999
FOR_F371      0      0.057069   0.004106
# MODE = Dual
FOR_F054      1      0.012209   0.000655
FOR_F064      1      0.119995   0.006505
FOR_F066      1      0.090295   0.004806
FOR_F077      1      0.238353   0.012749
FOR_F111      1      0.352003   0.037398
FOR_F197      1      0.522073   0.028208
FOR_F253      1      0.136847   0.007730
FOR_F315      1      0.103488   0.010342
FOR_F336      1      0.026716   0.001388
FOR_F348      1      0.057474   0.003685
FOR_F371      1      0.027235   0.003144
