# ALTITUDE = 41000, ZA = 45.00
# SERIES = OC2H
# END_DATE = 2015-02-06
#
#SPECTEL   DICHROIC  REFCALFC   REFCALER
#
# MODE = Single
FOR_F064      0      0.138924   0.007359
FOR_F066      0      0.151057   0.007680
FOR_F077      0      0.312912   0.015913
FOR_F111      0      0.403100   0.021880
FOR_F197      0      0.602141   0.029485
FOR_F253      0      0.154194   0.007943
FOR_F086      0      0.078746   0.004016
FOR_F113      0      0.074255   0.003760
FOR_F118      0      0.220705   0.011824
FOR_F242      0      0.407997   0.021170
FOR_F315      0      0.311285   0.018335
FOR_F336      0      0.085934   0.005293
FOR_F348      0      0.185640   0.010102
FOR_F371      0      0.099219   0.005684
# MODE = Dual
FOR_F064      1      0.112126   0.005807
FOR_F066      1      0.084768   0.004284
FOR_F077      1      0.219964   0.011460
FOR_F111      1      0.307213   0.016384
FOR_F197      1      0.531767   0.025961
FOR_F253      1      0.139445   0.007869
FOR_F315      1      0.185605   0.009823
FOR_F336      1      0.041457   0.002439
FOR_F348      1      0.103958   0.006133
FOR_F371      1      0.046470   0.003099
