# ALTITUDE = 41000      ZA = 45.00
# SERIES = OC3C
# END_DATE = 2015-06-13            
#                  
#SPECTEL   DICHROIC  REFCALFC      REFCALER
#                  
# MODE = Single
FOR_F064      0      0.141822      0.007091
FOR_F066      0      0.157578      0.007879
FOR_F077      0      0.336369      0.016819
FOR_F111      0      0.383409      0.019211
FOR_F197      0      0.637845      0.032123
FOR_F253      0      0.164351      0.008367
FOR_F086      0      0.083060      0.004157
FOR_F113      0      0.077297      0.003869
FOR_F118      0      0.239049      0.011960
FOR_F242      0      0.441449      0.022292
FOR_F315      0      0.350331      0.018157
FOR_F336      0      0.090456      0.005024
FOR_F348      0      0.197143      0.010316
FOR_F371      0      0.107286      0.006013
# MODE = Dual
FOR_F064      1      0.114472      0.005724
FOR_F066      1      0.086651      0.004333
FOR_F077      1      0.232355      0.011618
FOR_F111      1      0.327849      0.016411
FOR_F197      1      0.574078      0.028836
FOR_F253      1      0.146398      0.007461
FOR_F315      1      0.198058      0.010251
FOR_F336      1      0.041420      0.002427
FOR_F348      1      0.108958      0.006068
FOR_F371      1      0.049176      0.002691
