# ALTITUDE = 41000      ZA = 45.00
# SERIES = OC3D
# END_DATE = 2015-07-07            
#                  
#SPECTEL   DICHROIC  REFCALFC      REFCALER
#                  
# MODE = Single
FOR_F064      0      0.138984      0.006228
FOR_F066      0      0.153494      0.006876
FOR_F077      0      0.321999      0.014459
FOR_F086      0      0.077829      0.003525
FOR_F111      0      0.412482      0.020426
FOR_F113      0      0.072046      0.003161
FOR_F118      0      0.220044      0.009933
FOR_F197      0      0.601702      0.027535
FOR_F242      0      0.433440      0.019463
FOR_F253      0      0.180141      0.008890
FOR_F315      0      0.357411      0.019118
FOR_F336      0      0.088446      0.005659
FOR_F348      0      0.241076      0.012809
FOR_F371      0      0.102261      0.006586
# MODE = Dual
FOR_F064      1      0.110482      0.004948
FOR_F066      1      0.082116      0.003680
FOR_F077      1      0.221280      0.009915
FOR_F111      1      0.337918      0.015260
FOR_F197      1      0.553999      0.024545
FOR_F253      1      0.152086      0.008395
FOR_F315      1      0.206711      0.012555
FOR_F336      1      0.044481      0.003360
FOR_F348      1      0.110535      0.008041
FOR_F371      1      0.050726      0.002716
