# ALTITUDE = 41000      ZA = 45.00
# SERIES = OC3L
# END_DATE = 2015-11-20            
#                  
#SPECTEL   DICHROIC  REFCALFC      REFCALER
#                  
# MODE = Single
FOR_F064      0      0.147082      0.001721
FOR_F066      0      0.157703      0.003778
FOR_F077      0      0.342596      0.012548
FOR_F086      0      0.080702      0.004004
FOR_F111      0      0.413715      0.024718
FOR_F113      0      0.082073      0.004531
FOR_F118      0      0.241304      0.006864
FOR_F197      0      0.661276      0.055068
FOR_F242      0      0.457693      0.033962
FOR_F253      0      0.176367      0.017452
FOR_F315      0      0.373497      0.014696
FOR_F336      0      0.090723      0.008377
FOR_F348      0      0.195913      0.015160
FOR_F371      0      0.100485      0.011603
# MODE = Dual
FOR_F064      1      0.116781      0.003221
FOR_F066      1      0.084160      0.003520
FOR_F077      1      0.231376      0.008477
FOR_F111      1      0.340552      0.029583
FOR_F197      1      0.590539      0.023047
FOR_F253      1      0.147425      0.008448
FOR_F315      1      0.186037      0.022135
FOR_F336      1      0.047247      0.003127
FOR_F348      1      0.101829      0.009134
FOR_F371      1      0.047694      0.012371
