# ALTITUDE = 41000      ZA = 45.00
# SERIES = OC4A
# END_DATE = 2016-02-18            
#                  
#SPECTEL   DICHROIC  REFCALFC      REFCALER
#                  
# MODE = Single
FOR_F056      0      0.119470      0.002931
FOR_F064      0      0.148491      0.003158
FOR_F077      0      0.337133      0.006548
FOR_F088      0      0.246213      0.002619
FOR_F111      0      0.390976      0.031012
FOR_F112      0      0.800874      0.016512
FOR_F113      0      0.080694      0.002172
FOR_F118      0      0.245933      0.004102
FOR_F197      0      0.639843      0.027147
FOR_F242      0      0.455534      0.021492
FOR_F253      0      0.168800      0.008650
FOR_F315      0      0.390951      0.009645
FOR_F336      0      0.096354      0.002025
FOR_F348      0      0.203840      0.003403
FOR_F371      0      0.110381      0.006618
# MODE = Dual
FOR_F064      1      0.120361      0.001072
FOR_F077      1      0.235237      0.005022
FOR_F088      1      0.224123      0.002414
FOR_F111      1      0.315476      0.005203
FOR_F112      1      0.579973      0.013642
FOR_F197      1      0.565311      0.014260
FOR_F253      1      0.143282      0.002291
FOR_F315      1      0.195597      0.009094
FOR_F336      1      0.043508      0.001232
FOR_F348      1      0.108116      0.003088
FOR_F371      1      0.047419      0.002212
