# ALTITUDE = 41000      ZA = 45.00
# SERIES = OC4G
# END_DATE = 2016-07-20            
#                  
#SPECTEL   DICHROIC  REFCALFC      REFCALER
#                  
# MODE = Single
FOR_F056      0      0.110909      0.009848
FOR_F064      0      0.134552      0.004315
FOR_F077      0      0.302959      0.011633
FOR_F088      0      0.227368      0.015026
FOR_F111      0      0.381667      0.025430
FOR_F112      0      0.748494      0.038182
FOR_F113      0      0.073287      0.001149
FOR_F118      0      0.220039      0.012327
FOR_F197      0      0.595411      0.032195
FOR_F242      0      0.433688      0.015052
FOR_F253      0      0.157820      0.010355
FOR_F315      0      0.362555      0.026739
FOR_F336      0      0.086225      0.006866
FOR_F348      0      0.196296      0.016415
FOR_F371      0      0.107573      0.005884
# MODE = Dual
FOR_F064      1      0.108666      0.003110
FOR_F077      1      0.209591      0.007908
FOR_F088      1      0.205511      0.013762
FOR_F111      1      0.302441      0.008344
FOR_F112      1      0.550009      0.015516
FOR_F197      1      0.534922      0.022254
FOR_F253      1      0.134738      0.004501
FOR_F315      1      0.184899      0.012613
FOR_F336      1      0.043503      0.004535
FOR_F348      1      0.103962      0.006771
FOR_F371      1      0.047873      0.002747
