# ALTITUDE = 41000      ZA = 45.00
# SERIES = OC4I
# END_DATE = 2016-09-27            
#                  
#SPECTEL   DICHROIC  REFCALFC      REFCALER
#                  
# MODE = Single
FOR_F056      0      0.118434      0.005923
FOR_F064      0      0.138411      0.006829
FOR_F077      0      0.318037      0.016503
FOR_F088      0      0.244788      0.012262
FOR_F111      0      0.385656      0.030115
FOR_F112      0      0.805079      0.040443
FOR_F113      0      0.077014      0.002603
FOR_F118      0      0.230712      0.009823
FOR_F197      0      0.643501      0.037207
FOR_F242      0      0.445492      0.022787
FOR_F253      0      0.173999      0.006656
FOR_F315      0      0.356844      0.017783
FOR_F336      0      0.086539      0.004705
FOR_F348      0      0.186638      0.008424
FOR_F371      0      0.106262      0.008170
# MODE = Dual
FOR_F064      1      0.116246      0.005816
FOR_F077      1      0.219747      0.011136
FOR_F088      1      0.225450      0.011300
FOR_F111      1      0.316787      0.036637
FOR_F112      1      0.579428      0.029159
FOR_F197      1      0.549835      0.027513
FOR_F253      1      0.139952      0.010877
FOR_F315      1      0.189247      0.009974
FOR_F336      1      0.042096      0.005273
FOR_F348      1      0.101505      0.005044
FOR_F371      1      0.046144      0.002702
