# ALTITUDE = 41000      ZA = 45.00
# SERIES = OC5K
# END_DATE = 2017-09-28            
#                  
#SPECTEL   DICHROIC  REFCALFC      REFCALER
#                  
# MODE = Single
FOR_F056      0      0.116271      0.004672
FOR_F064      0      0.142756      0.005413
FOR_F066      0      0.154643      0.006484
FOR_F077      0      0.324323      0.011915
FOR_F086      0      0.078471      0.002625
FOR_F088      0      0.239457      0.010493
FOR_F111      0      0.401453      0.021173
FOR_F112      0      0.784816      0.031526
FOR_F113      0      0.076042      0.003634
FOR_F118      0      0.226779      0.011518
FOR_F197      0      0.618867      0.030668
FOR_F242      0      0.425418      0.028383
FOR_F253      0      0.167451      0.008156
FOR_F315      0      0.345606      0.030442
FOR_F336      0      0.088614      0.007656
FOR_F348      0      0.193787      0.021214
FOR_F371      0      0.101496      0.006126
# MODE = Dual
FOR_F054      1      0.013758      0.000754
FOR_F064      1      0.115171      0.004650
FOR_F066      1      0.085013      0.004457
FOR_F077      1      0.226391      0.008646
FOR_F088      1      0.218361      0.011148
FOR_F111      1      0.325696      0.015993
FOR_F112      1      0.569803      0.017144
FOR_F197      1      0.552899      0.021323
FOR_F253      1      0.142570      0.005023
FOR_F315      1      0.185050      0.013617
FOR_F336      1      0.042525      0.002818
FOR_F348      1      0.102939      0.005333
FOR_F371      1      0.047311      0.004051
