# ALTITUDE = 41000      ZA = 45.00
# SERIES = OC6J
# END_DATE = 2018-09-10
#
#SPECTEL   DICHROIC  REFCALFC      REFCALER
#
# MODE = Single
FOR_F056      0      0.130464      0.002687
FOR_F064      0      0.189687      0.003355
FOR_F077      0      0.446309      0.007447
FOR_F088      0      0.326805      0.006181
FOR_F111      0      0.582338      0.006364
FOR_F112      0      1.094130      0.020721
FOR_F113      0      0.086263      0.001643
FOR_F118      0      0.281908      0.005352
FOR_F197      0      0.827633      0.015900
FOR_F242      0      0.474216      0.009533
FOR_F253      0      0.306121      0.006960
FOR_F315      0      0.390261      0.007816
FOR_F336      0      0.096713      0.002348
FOR_F348      0      0.225032      0.005186
FOR_F371      0      0.106746      0.002269
# MODE = Dual
FOR_F064      1      0.149226      0.002822
FOR_F077      1      0.309720      0.005860
FOR_F088      1      0.297778      0.005633
FOR_F111      1      0.485230      0.009191
FOR_F112      1      0.774317      0.015848
FOR_F197      1      0.755361      0.012730
FOR_F253      1      0.193835      0.004275
FOR_F315      1      0.215207      0.005293
FOR_F336      1      0.044593      0.001284
FOR_F348      1      0.119170      0.002851
FOR_F371      1      0.049121      0.000999
