# ALTITUDE = 41000      ZA = 45.00
# SERIES = OC7D
# END_DATE = 2019-07-11
#
#SPECTEL   DICHROIC  REFCALFC      REFCALER
#
# MODE = Single
FOR_F056   0         0.111002      0.002507
FOR_F064   0         0.186800      0.003814
FOR_F077   0         0.411702      0.008409
FOR_F088   0         0.319331      0.007146
FOR_F111   0         0.522034      0.010692
FOR_F112   0         1.102000      0.024667
FOR_F113   0         0.094145      0.001931
FOR_F118   0         0.349629      0.007152
FOR_F197   0         0.895561      0.018514
FOR_F242   0         0.786881      0.016433
FOR_F253   0         0.236316      0.005283
FOR_F315   0         0.644440      0.014285
FOR_F336   0         0.129765      0.003663
FOR_F348   0         0.335420      0.008008
FOR_F371   0         0.147569      0.004509
# MODE = Dual
FOR_F064   1         0.154201      0.003449
FOR_F077   1         0.282515      0.005770
FOR_F088   1         0.289461      0.007241
FOR_F111   1         0.419746      0.008586
FOR_F112   1         0.761441      0.022012
FOR_F197   1         0.804335      0.016537
FOR_F253   1         0.204324      0.004376
FOR_F315   1         0.312378      0.006805
FOR_F336   1         0.056976      0.001695
FOR_F348   1         0.141718      0.003601
FOR_F371   1         0.061244      0.001731
