# ALTITUDE = 41000      ZA = 45.00
# SERIES = OC7G -- using Master (OC7D and OC7G) as per WDV.
# END_DATE = 2019-10-25
#
#SPECTEL   DICHROIC  REFCALFC      REFCALER
#
# MODE = Single
FOR_F056      0      0.131114      0.028444
FOR_F064      0      0.188368      0.002218
FOR_F077      0      0.423125      0.016155
FOR_F088      0      0.332068      0.018014
FOR_F111      0      0.541407      0.027398
FOR_F112      0      1.106063      0.005747
FOR_F113      0      0.098159      0.005677
FOR_F118      0      0.362056      0.017574
FOR_F197      0      0.881198      0.020312
FOR_F242      0      0.766866      0.028307
FOR_F253      0      0.239513      0.004522
FOR_F315      0      0.640100      0.006138
FOR_F336      0      0.130500      0.001040
FOR_F348      0      0.330585      0.006838
FOR_F371      0      0.146180      0.001964
# MODE = Dual
FOR_F064      1      0.155190      0.001399
FOR_F077      1      0.293162      0.015058
FOR_F088      1      0.301641      0.017225
FOR_F111      1      0.438677      0.026771
FOR_F112      1      0.760998      0.000627
FOR_F197      1      0.781548      0.032226
FOR_F253      1      0.205162      0.001184
FOR_F315      1      0.314942      0.003627
FOR_F336      1      0.056264      0.001008
FOR_F348      1      0.146223      0.006370
FOR_F371      1      0.062181      0.001325
