# ALTITUDE = 41000      ZA = 45.00
# SERIES = OC9P
# END_DATE = 2022-05-27
#
#SPECTEL   DICHROIC  REFCALFC      REFCALER
#
# MODE = Single
FOR_F056      0      0.129385      0.002080
FOR_F064      0      0.167041      0.002664
FOR_F066      0      0.154643      0.006484
FOR_F077      0      0.358664      0.006348
FOR_F086      0      0.078471      0.002625
FOR_F088      0      0.292374      0.004628
FOR_F111      0      0.415291      0.006627
FOR_F112      0      0.888683      0.014843
FOR_F113      0      0.099393      0.001889
FOR_F118      0      0.357375      0.006773
FOR_F197      0      0.701354      0.011896
FOR_F242      0      0.674725      0.013333
FOR_F253      0      0.174849      0.003456
FOR_F315      0      0.611003      0.012834
FOR_F336      0      0.126706      0.003514
FOR_F348      0      0.315444      0.007557
FOR_F371      0      0.142544      0.004389
# MODE = Dual                  
FOR_F054      1      0.013758      0.000754
FOR_F064      1      0.144413      0.002554
FOR_F066      1      0.085013      0.004457
FOR_F077      1      0.258202      0.004884
FOR_F088      1      0.267505      0.004464
FOR_F111      1      0.357123      0.005974
FOR_F112      1      0.628660      0.018187
FOR_F197      1      0.622551      0.010557
FOR_F253      1      0.163153      0.003106
FOR_F315      1      0.286652      0.006409
FOR_F336      1      0.054593      0.001726
FOR_F348      1      0.140153      0.003395
FOR_F371      1      0.066332      0.002215
