# ALTITUDE = 41000      ZA = 45.00
# SERIES = OC9V
# END_DATE = 2022-09-17
#
#SPECTEL   DICHROIC  REFCALFC      REFCALER
#
# MODE = Single
FOR_F056      0      0.126385      0.013090
FOR_F064      0      0.180057      0.004027
FOR_F066      0      0.154643      0.006484
FOR_F077      0      0.377567      0.008446
FOR_F086      0      0.078471      0.002625
FOR_F088      0      0.302572      0.006771
FOR_F111      0      0.499340      0.011198
FOR_F112      0      0.930000      0.020838
FOR_F113      0      0.098714      0.003523
FOR_F118      0      0.351121      0.012462
FOR_F197      0      0.727440      0.016750
FOR_F242      0      0.677717      0.025540
FOR_F253      0      0.188309      0.004879
FOR_F315      0      0.590495      0.016941
FOR_F336      0      0.134643      0.005230
FOR_F348      0      0.297685      0.010380
FOR_F371      0      0.131912      0.006390
# MODE = Dual                  
FOR_F054      1      0.013758      0.000754
FOR_F064      1      0.146073      0.003653
FOR_F066      1      0.085013      0.004457
FOR_F077      1      0.268927      0.006728
FOR_F088      1      0.272976      0.006831
FOR_F111      1      0.365533      0.008217
FOR_F112      1      0.674901      0.033788
FOR_F197      1      0.642326      0.014619
FOR_F253      1      0.171603      0.004603
FOR_F315      1      0.306082      0.009242
FOR_F336      1      0.048218      0.002194
FOR_F348      1      0.142135      0.004563
FOR_F371      1      0.062450      0.003013
