# ALTITUDE = 41000      ZA = 45.00                  
# SERIES = OC5J ReProc                   
# END_DATE = 2017-08-07                  
# REPROC DATE = 2023-04-21                  
#SPECTEL   DICHROIC  REFCALFC      REFCALER                  
#
# MODE = Single
FOR_F056      0      0.115835      0.004148
FOR_F064      0      0.173987      0.005024
#FOR_F066      0            
FOR_F077      0      0.385163      0.011122
#FOR_F086      0            
FOR_F088      0      0.285826      0.010115
FOR_F111      0      0.424968      0.007108
FOR_F112      0      0.912190      0.032324
FOR_F113      0      0.085474      0.002498
FOR_F118      0      0.251149      0.007305
FOR_F197      0      0.686434      0.020562
FOR_F242      0      0.441557      0.014310
FOR_F253      0      0.181933      0.006352
FOR_F315      0      0.388355      0.013557
FOR_F336      0      0.090984      0.004228
FOR_F348      0      0.208598      0.008263
FOR_F371      0      0.102502      0.005496
# MODE = Dual                  
#FOR_F054      1            
FOR_F064      1      0.137303      0.004855
#FOR_F066      1            
FOR_F077      1      0.268758      0.007760
FOR_F088      1      0.258295      0.009135
FOR_F111      1      0.351570      0.010159
FOR_F112      1      0.644884      0.022820
FOR_F197      1      0.623661      0.018207
FOR_F253      1      0.156149      0.005852
FOR_F315      1      0.192042      0.006393
FOR_F336      1      0.046746      0.002639
FOR_F348      1      0.110005      0.004361
FOR_F371      1      0.048044      0.002130
