# ALTITUDE = 41000      ZA = 45.00
# SERIES = OC9V ReProc
# END_DATE = 2022-09-17
# REPROC Date = 2023-04-22
#
#SPECTEL   DICHROIC  REFCALFC      REFCALER
#
# MODE = Single
FOR_F056      0      0.148072      0.003311
FOR_F064      0      0.181576      0.004061
#FOR_F066      0            
FOR_F077      0      0.379317      0.008486
#FOR_F086      0            
FOR_F088      0      0.302656      0.006773
FOR_F111      0      0.499407      0.011199
FOR_F112      0      0.930198      0.020843
FOR_F113      0      0.098733      0.003524
FOR_F118      0      0.351201      0.012465
FOR_F197      0      0.727936      0.016762
FOR_F242      0      0.679401      0.025603
FOR_F253      0      0.188167      0.005036
FOR_F315      0      0.595187      0.017077
FOR_F336      0      0.136186      0.005290
FOR_F348      0      0.301642      0.010524
FOR_F371      0      0.133524      0.006473
# MODE = Dual                  
#FOR_F054      1            
FOR_F064      1      0.147692      0.003694
#FOR_F066      1            
FOR_F077      1      0.270957      0.006780
FOR_F088      1      0.273078      0.006833
FOR_F111      1      0.365583      0.008218
FOR_F112      1      0.675281      0.033807
FOR_F197      1      0.642749      0.014629
FOR_F253      1      0.172034      0.004614
FOR_F315      1      0.308925      0.009326
FOR_F336      1      0.050347      0.002121
FOR_F348      1      0.143566      0.004611
FOR_F371      1      0.063232      0.003052
