# ALTITUDE = 41000      ZA = 45.00
# SERIES = OC5K ReProc
# END_DATE = 2017-09-28 
# REPROC DATE = 2023-06-01           
#                  
#SPECTEL   DICHROIC  REFCALFC      REFCALER
#                  
# MODE = Single
FOR_F056      0      0.136622      0.004832
FOR_F064      0      0.160637      0.004018
#FOR_F066      0            
FOR_F077      0      0.356737      0.007983
#FOR_F086      0            
FOR_F088      0      0.267514      0.009472
FOR_F111      0      0.413922      0.010400
FOR_F112      0      0.820105      0.029114
FOR_F113      0      0.078175      0.002794
FOR_F118      0      0.229964      0.008176
FOR_F197      0      0.670143      0.015360
FOR_F242      0      0.428671      0.013174
FOR_F253      0      0.180271      0.005148
FOR_F315      0      0.337971      0.009641
FOR_F336      0      0.088688      0.002947
FOR_F348      0      0.190550      0.005750
FOR_F371      0      0.097834      0.003050
# MODE = Dual
#FOR_F054      1            
FOR_F064      1      0.123781      0.006193
#FOR_F066      1            
FOR_F077      1      0.248359      0.006214
FOR_F088      1      0.244524      0.008659
FOR_F111      1      0.344360      0.009968
FOR_F112      1      0.591293      0.021016
FOR_F197      1      0.596449      0.013404
FOR_F253      1      0.146496      0.005467
FOR_F315      1      0.191863      0.006253
FOR_F336      1      0.044239      0.002184
FOR_F348      1      0.103195      0.003407
FOR_F371      1      0.046953      0.001699
