# ALTITUDE = 41000      ZA = 45.00            
# SERIES = ReProc Master (OC5J to OC5K and OC9V)                  
# END_DATE = 2017-08-07                  
# REPROC DATE = 2023-06-01                  
#SPECTEL   DICHROIC  REFCALFC      REFCALER
#                  
# MODE = Single                  
FOR_F056      0      0.133510      0.016342
FOR_F064      0      0.172067      0.010601
#FOR_F066      0            
FOR_F077      0      0.373739      0.015012
#FOR_F086      0            
FOR_F088      0      0.285332      0.017576
FOR_F111      0      0.446099      0.046495
FOR_F112      0      0.887498      0.059054
FOR_F113      0      0.087461      0.010422
FOR_F118      0      0.277438      0.064753
FOR_F197      0      0.694838      0.029799
FOR_F242      0      0.516543      0.141186
FOR_F253      0      0.183457      0.004163
FOR_F315      0      0.440504      0.136307
FOR_F336      0      0.105286      0.026785
FOR_F348      0      0.233597      0.059616
FOR_F371      0      0.111287      0.019399
# MODE = Dual
#FOR_F054      1            
FOR_F064      1      0.136259      0.011989
#FOR_F066      1            
FOR_F077      1      0.262691      0.012460
FOR_F088      1      0.258632      0.014280
FOR_F111      1      0.353838      0.010792
FOR_F112      1      0.637153      0.042525
FOR_F197      1      0.620953      0.023268
FOR_F253      1      0.158226      0.012895
FOR_F315      1      0.230943      0.067534
FOR_F336      1      0.047111      0.003070
FOR_F348      1      0.118922      0.021612
FOR_F371      1      0.052743      0.009100
