# WVOMIN=1.8 WVOMAX=182.1 WVOREF=7.3
# ZAMIN=30.0 ZAMAX=70.0 ZAREF=45.0
#filter   realfilter   Resp_ref      Fit coefficients ( Response - relative to 41K and 45 deg ZA and 7.3 microns PWV - vs ln(PWV) )
5.35200    FOR_F054         197.330	0.99996948    -0.022109930   -0.0056751911   -0.0021139005  -9.3881132e-06   0.00049144657  -0.00012715383
5.61200    FOR_F056       102.505	1.0000372    -0.057173408    -0.015149744   -0.0065131695   0.00024264536    0.0017439566  -0.00042900345
6.27600    FOR_F064         152.575	1.0000540    -0.087210099    -0.018245752   -0.0081582129   0.00033786438    0.0026969617  -0.00065022556
6.61100    FOR_F066         205.912	1.0000836     -0.14022961    -0.031858457    -0.012665887    0.0012334353    0.0043375300   -0.0010382139
7.68800    FOR_F077         573.096	0.99863946    -0.066769485    0.0030063567     0.010884251   0.00065936652   -0.0033464686   0.00066927150
8.60600    FOR_F086         342.632	0.99990115   -0.0037871598   2.9348626e-05   0.00074000137   7.4537562e-05  -0.00023363956   4.4883701e-05
10.6770    10.677      186.139	0.99964461  -0.00090001530  -3.9196129e-05   3.6694307e-05   0.0             0.0             0.0
11.0350    FOR_F111        1138.18	0.99952353  -0.00080164907  -0.00011763018   5.1219967e-05   0.0             0.0             0.0 
11.8030    11.8030        972.303	0.99940732   -0.0011594653  -0.00015109577   5.9300425e-05   0.0             0.0             0.0 
11.8032    FOR_F118      1014.89	0.99937727   -0.0011264580  -0.00016150658   6.3676225e-05   0.0             0.0             0.0 
19.5000    FOR_F197        2439.25	0.99992560    -0.011251391   -0.0028307582  -0.00037104575   6.8186387e-05   3.2227031e-05  -2.3243687e-05
24.4000    FOR_F242        1031.62	0.99998153    -0.024922991   -0.0073630702   -0.0031268134   4.1884362e-05   0.00074526334  -0.00018212478
25.3580    FOR_F253     487.718	0.99999202    -0.029920460   -0.0085505480   -0.0038544343   6.0070422e-05   0.00096230516  -0.00023378172
25.3870    FOR_F254     486.799	0.99999135    -0.029947801   -0.0085614167   -0.0038583535   6.0434673e-05   0.00096311699  -0.00023407640
30.6000    FOR_F315        705.430	0.99997001    -0.077781037    -0.017870181   -0.0082780886   0.00023529889    0.0024685207  -0.00060615277
33.4000    FOR_F336        214.456	0.99998340    -0.092842669    -0.022498277   -0.0089574757   0.00065643061    0.0027762068  -0.00069104597
34.8000    FOR_F348        563.178	0.99997853     -0.11323204    -0.025978160    -0.011894109    0.0012058419    0.0038558673  -0.00094660985
38.0000    FOR_F371        260.991	0.99994173     -0.10466935    -0.026429659    -0.011811868    0.0012110023    0.0036126141  -0.00089058243
