# ALTITUDE = 41000      ZA = 45.00
# SERIES = OC6T
# END_DATE = 2019-02-20
#
#SPECTEL   INSTMODE  REFCALFC      REFCALER
#
# MODE = Chop/Nod, with HWP
HAW_A        0         35.97161      3.59716
HAW_B        0         40.0          40.0
HAW_C        0         43.14945      4.31495
HAW_D        0         40.15865      4.01587
HAW_E        0         30.76923      3.07692
# MODE = Chop/Nod, no HWP
HAW_A        1         35.97161      3.59716
HAW_B        1         40.0          40.0
HAW_C        1         43.14945      4.31495
HAW_D        1         40.15865      4.01587
HAW_E        1         30.76923      3.07692
# MODE = Scan, with HWP
HAW_A        2        631.63666    126.32736
HAW_B        2        720.0         72.0
HAW_C        2       1007.62372    201.52477
HAW_D        2        630.83071     77.94980
HAW_E        2        443.07754     61.34888
# MODE = Scan, no HWP
HAW_A        3        818.972946    19.65092
HAW_B        3        720.0         72.0
HAW_C        3       1010.147498    43.61528
HAW_D        3        851.519710    46.75331
HAW_E        3        531.163009    14.94849
