# ALTITUDE = 41000      ZA = 45.00                  
# SERIES = OC7E                  
# END_DATE = 2019-07-24                  
#                  
#SPECTEL   INSTMODE  REFCALFC      REFCALER                  
#                  
# MODE = Chop/Nod, with HWP                  
HAW_A      0          34.42800      3.44594
HAW_B      0          40.00000      4.00000
HAW_C      0          39.34246      7.86850
HAW_D      0          34.72322      6.94467
HAW_E      0          30.76923      3.07692
# Mode = Chop/Nod, with no HWP                  
HAW_A      1          30.74366      4.34809
HAW_B      1          40.00000      4.00000
HAW_C      1          37.61593      7.52321
HAW_D      1          40.15865      4.01587
HAW_E      1          30.76923      3.07692
# Mode = scan, with HWP                  
HAW_A      2         590.30032     72.67391
HAW_B      2         720.00000     72.00000
HAW_C      2         799.76747     51.91365
HAW_D      2         630.83071     58.58315
HAW_E      2         443.07754     52.01058
# Mode = scan, no HWP                  
HAW_A      3         619.00800     55.99365
HAW_B      3         365.49623     37.06739
HAW_C      3         811.97313     81.74573
HAW_D      3         721.28261     83.45177
HAW_E      3         487.20259     56.27482
