# ALTITUDE = 41000      ZA = 45.00                  
# SERIES = OC7F          
# END_DATE = 2019-10-10                  
#                  
#SPECTEL   INSTMODE  REFCALFC      REFCALER                  
#                                   
# MODE = Chop/Nod, with HWP                  
HAW_A      0          35.72296      7.14469
HAW_B      0          40.00000      4.00000
HAW_C      0          41.88045      2.36908
HAW_D      0          38.34684      5.01642
HAW_E      0          29.42342      5.88471
# Mode = Chop/Nod, with no HWP                  
HAW_A      1          37.22676      3.72334
HAW_B      1          40.00000      4.00000
HAW_C      1          39.12289      3.92512
HAW_D      1          34.38614      3.44161
HAW_E      1          27.49712      2.76223
# Mode = scan, with HWP                  
HAW_A      2         590.30032     58.95963
HAW_B      2         720.00000     72.00000
HAW_C      2         799.76747     51.78018
HAW_D      2         630.83071     48.98455
HAW_E      2         443.07754     60.12756
# Mode = scan, no HWP                  
HAW_A      3         620.07300     39.36235
HAW_B      3         720.00000     72.00000
HAW_C      3         773.49574     46.87186
HAW_D      3         634.04475     42.49148
HAW_E      3         467.55072     28.24875
