# ALTITUDE = 41000      ZA = 45.00                  
# SERIES = OC7J
# END_DATE = 2020-01-31                  
#                  
#SPECTEL   INSTMODE  REFCALFC      REFCALER                  
#                                   
# MODE = Chop/Nod, with HWP                  
HAW_A      0          35.52354       2.24327
HAW_B      0          40.00000       4.00000
HAW_C      0          41.88045       2.36908
HAW_D      0          38.34684       5.01642
HAW_E      0          32.47129       6.50830
# Mode = Chop/Nod, with no HWP                  
HAW_A      1          37.82624       5.40225
HAW_B      1          40.00000       4.00000
HAW_C      1          40.75943       2.91818
HAW_D      1          45.39137       9.07828
HAW_E      1          33.68734       6.74157
# Mode = scan, with HWP                  
HAW_A      2         590.30032      58.95963
HAW_B      2         720.00000      72.00000
HAW_C      2         799.76747      51.78018
HAW_D      2         630.83071      48.98455
HAW_E      2         443.07754      60.12756
# Mode = scan, no HWP                  
HAW_A      3         547.95130      55.36030
HAW_B      3         720.00000      72.00000
HAW_C      3         953.15021     134.95333
HAW_D      3         761.64689     107.88338
HAW_E      3         529.24935      74.85494
