# ALTITUDE = 41000      ZA = 45.00
# SERIES = OC8E
# END_DATE = 2020-09-24
#                  
#SPECTEL   INSTMODE  REFCALFC      REFCALER
#
# MODE = Chop/Nod, with HWP
HAW_A      0         35.52354        4.44624
HAW_B      0         40.00000        4.00000
HAW_C      0         41.88045        5.49946
HAW_D      0         38.34684        4.99213
HAW_E      0         29.18808        5.83764
# Mode = Chop/Nod, with no HWP
HAW_A      1         45.62092        6.45548
HAW_B      1         40.00000        4.00000
HAW_C      1         47.46245        6.71247
HAW_D      1         39.66001        5.61026
HAW_E      1         31.06167        3.59819
# Mode = scan, with HWP
HAW_A      2        531.75178       75.72860
HAW_B      2        720.00000       72.00000
HAW_C      2        784.12642      111.08281
HAW_D      2        562.66391       79.58747
HAW_E      2        487.07265       58.66605
# Mode = scan, no HWP
HAW_A      3        622.34893       88.01688
HAW_B      3        720.00000       72.00000
HAW_C      3        800.85328      113.96477
HAW_D      3        682.21024       96.48536
HAW_E      3        500.67641       57.96494
