# ALTITUDE = 41000      ZA = 45.00
# SERIES = OC8K
# END_DATE = 2021-05-21
#
#SPECTEL   INSTMODE  REFCALFC      REFCALER
#
# MODE = Chop/Nod, with HWP
HAW_A      0           35.52354     4.44624
HAW_B      0           40.00000     4.00000
HAW_C      0           41.88045     5.49946
HAW_D      0           38.34684     4.99213
HAW_E      0           30.52425     4.87690
# Mode = Chop/Nod, with no HWP			
HAW_A      1           37.22680     4.52058
HAW_B      1           40.00000     4.00000
HAW_C      1           42.10003     5.35814
HAW_D      1           39.95096     5.23238
HAW_E      1           30.75692     3.85117
# Mode = scan, with HWP			
HAW_A      2          646.48483    129.29758
HAW_B      2          720.00000     72.00000
HAW_C      2          870.03023    123.18917
HAW_D      2          631.58087     72.94752
HAW_E      2          512.51386     59.32840
# Mode = scan, no HWP			
HAW_A      3          717.55891    101.48939
HAW_B      3          720.00000     72.00000
HAW_C      3         1008.65333     90.52758
HAW_D      3          705.91256     70.61619
HAW_E      3          468.88983     54.41716
