# ALTITUDE = 41000      ZA = 45.00                  
# SERIES = OC9D                  
# END_DATE = 2021-09-15                  
#                  
#SPECTEL   INSTMODE  REFCALFC      REFCALER
#
# MODE = Chop/Nod, with HWP                  
HAW_A      0          35.52354      4.44624
HAW_B      0          40.00000      4.00000
HAW_C      0          41.88045      5.49946
HAW_D      0          38.34684      4.99213
HAW_E      0          31.14594      5.20590
# Mode = Chop/Nod, with no HWP
HAW_A      1          38.46484      5.18606
HAW_B      1          40.00000      4.00000
HAW_C      1          45.31492      6.51156
HAW_D      1          40.10205      5.72303
HAW_E      1          31.70102      4.42398
# Mode = scan, with HWP
HAW_A      2         559.83145     68.68167
HAW_B      2         720.00000     72.00000
HAW_C      2         791.25830     68.49004
HAW_D      2         617.95468     65.09463
HAW_E      2         452.12898     53.41133
# Mode = scan, no HWP
HAW_A      3         606.91988     64.16766
HAW_B      3         720.00000     72.00000
HAW_C      3         854.61125     78.82200
HAW_D      3         686.48664     74.21946
HAW_E      3         480.89537     51.47124
