# ALTITUDE = 41000      ZA = 45.00
# SERIES = OC9H
# END_DATE = 2021-12-09
#
#SPECTEL   INSTMODE  REFCALFC      REFCALER
#
# MODE = Chop/Nod, with HWP
HAW_A      0          35.52354      4.44624
HAW_B      0          40.00000      4.00000
HAW_C      0          41.88045      5.49946
HAW_D      0          38.37930      5.66793
HAW_E      0          31.14594      5.20590
# MODE = Chop/Nod, no HWP
HAW_A      1          38.46484      5.18606
HAW_B      1          40.00000      4.00000
HAW_C      1          45.31492      6.51156
HAW_D      1          40.10205      5.72303
HAW_E      1          31.70102      4.42398
# MODE = Scan, with HWP
HAW_A      2         554.21047     67.36988
HAW_B      2         720.00000     72.00000
HAW_C      2         794.58696     76.50134
HAW_D      2         619.41456     63.31321
HAW_E      2         455.79815     51.63639
# MODE = Scan, no HWP
HAW_A      3         609.59991     69.47170
HAW_B      3         720.00000     72.00000
HAW_C      3         853.53064     86.28090
HAW_D      3         687.93248     79.76513
HAW_E      3         482.80490     55.57895
