# ALTITUDE = 41000      ZA = 45.00
# SERIES = OC9QR
# END_DATE = 2022-07-06
#
#SPECTEL   INSTMODE  REFCALFC      REFCALER
#
# MODE = Chop/Nod, with HWP
HAW_A      0         35.52354      4.44624
HAW_B      0         15.30000      1.53000
HAW_C      0         41.88045      5.49946
HAW_D      0         38.37930      5.66793
HAW_E      0         31.14594      5.20590
# MODE = Chop/Nod, no HWP
HAW_A      1         38.46484      5.18606
HAW_B      1         13.67970      2.12463
HAW_C      1         45.31492      6.51156
HAW_D      1         40.10205      5.72303
HAW_E      1         31.70102      4.42398
# MODE = Scan, with HWP
HAW_A      2        392.85832      67.36988
HAW_B      2        295.81044      59.16499
HAW_C      2        600.44353      94.86586
HAW_D      2        416.06810      72.20819
HAW_E      2        319.57467      57.02602
# MODE = Scan, no HWP
HAW_A      3        517.82313      69.47170
HAW_B      3        167.38700      32.46641
HAW_C      3        594.08750      86.28090
HAW_D      3        433.25770      79.76513
HAW_E      3        287.70087      55.57895
