# ALTITUDE = 41000      ZA = 45.00
# SERIES = OC9W
# END_DATE = 2022-09-29
#
#SPECTEL   INSTMODE  REFCALFC      REFCALER
#
# MODE = Chop/Nod, with HWP
HAW_A      0         35.52354      4.44624
HAW_B      0         15.30000      1.53000
HAW_C      0         41.88045      5.49946
HAW_D      0         38.29460      6.05258
HAW_E      0         31.14594      5.20590
# MODE = Chop/Nod, no HWP
HAW_A      1         38.46484      5.18606
HAW_B      1         13.67970      2.12463
HAW_C      1         45.31492      6.51156
HAW_D      1         40.10205      5.72303
HAW_E      1         31.70102      4.42398
# MODE = Scan, with HWP
HAW_A      2        523.41499     67.60765
HAW_B      2        295.81044     59.16499
HAW_C      2        686.12019    102.09866
HAW_D      2        584.71847     72.31793
HAW_E      2        474.89728     65.24052
# MODE = Scan, no HWP
HAW_A      3        631.72498     68.25167
HAW_B      3        278.90136     32.46641
HAW_C      3        780.19982     92.45237
HAW_D      3        619.65128     83.01311
HAW_E      3        445.14307     60.56352
