# ALTITUDE = 41000      ZA = 45.00
# SERIES = *
# END_DATE = 2016-11-01
#                  
#SPECTEL   INSTMODE  REFCALFC      REFCALER
#                  
# MODE = Chop/Nod, with HWP
HAW_A        0      160.59097      16.05910
HAW_C        0      217.43857      21.74386
HAW_D        0      180.53800      18.05380
HAW_E        0      124.61059      12.46106
# MODE = Chop/Nod, no HWP
HAW_A        1      160.59097      16.05910
HAW_C        1      217.43857      21.74386
HAW_D        1      180.53800      18.05380
HAW_E        1      124.61059      12.46106
# MODE = Scan, with HWP
HAW_A        2      529.3957       40.0502
HAW_C        2      814.1646       72.9318
HAW_D        2      681.2381       61.0010
HAW_E        2      404.1233       80.8278
# MODE = Scan, no HWP
HAW_A        3      531.5866       47.6003
HAW_C        3      892.6512       89.9788
HAW_D        3      719.8665       72.1119
HAW_E        3      465.2139       65.8570
