# ALTITUDE = 41000      ZA = 45.00
# SERIES = Master (upto OC9R)
# END_DATE = 2022-07-06
#
#SPECTEL   INSTMODE  REFCALFC      REFCALER
#
# MODE = Chop/Nod, with HWP
HAW_A      0         35.52354      2.24327
HAW_B      0         15.30000      1.53000
HAW_C      0         41.88045      2.36908
HAW_D      0         38.29460      3.55264
HAW_E      0         31.14594      1.92370
# MODE = Chop/Nod, no HWP
HAW_A      1         38.46484      5.68380
HAW_B      1         13.67970      1.49597
HAW_C      1         45.31492      8.62039
HAW_D      1         40.10205      4.29078
HAW_E      1         31.70102      3.03468
# MODE = Scan, with HWP
HAW_A      2        544.76609     56.61332
HAW_B      2        295.81044     29.58104
HAW_C      2        795.16454     40.36751
HAW_D      2        621.00132     38.29872
HAW_E      2        475.53130     70.47596
# MODE = Scan, no HWP
HAW_A      3        603.93394     50.60186
HAW_B      3        278.90136     87.36452
HAW_C      3        851.91657     70.97444
HAW_D      3        681.93312     43.37607
HAW_E      3        491.96498     39.08714
