      N	    Freq     Tb       Flux        Trj 
	    (GHz)    (K)      (Jy)	  (K)
--------------------------------------------------
      1     2.00000  301.6140 0.8384E-02  301.5660
      2     3.00000  256.2748 0.1602E-01  256.2027
      3     4.00000  247.9945 0.2755E-01  247.8985
      4     5.00000  239.1472 0.4151E-01  239.0272
      5     6.00000  229.8826 0.5746E-01  229.7386
      6     7.00000  220.5035 0.7501E-01  220.3355
      7     8.00000  211.2989 0.9387E-01  211.1068
      8     9.00000  202.5058 0.1138E+00  202.2897
      9    10.00000  194.2856 0.1348E+00  194.0455
     10    11.00000  186.7424 0.1568E+00  186.4784
     11    12.00000  179.9178 0.1797E+00  179.6298
     12    13.00000  173.8271 0.2037E+00  173.5151
     13    14.00000  168.4457 0.2289E+00  168.1097
     14    15.00000  163.7200 0.2554E+00  163.3602
     15    16.00000  159.6089 0.2832E+00  159.2250
     16    17.00000  156.0374 0.3125E+00  155.6295
     17    18.00000  152.9465 0.3433E+00  152.5146
     18    19.00000  150.2758 0.3757E+00  149.8201
     19    20.00000  147.9811 0.4099E+00  147.5014
     20    21.00000  145.9905 0.4457E+00  145.4868
     21    22.00000  144.2857 0.4834E+00  143.7581
     22    23.00000  142.8169 0.5228E+00  142.2653
     23    24.00000  141.5538 0.5641E+00  140.9782
     24    25.00000  140.4693 0.6073E+00  139.8698
     25    26.00000  139.5357 0.6524E+00  138.9124
     26    27.00000  138.7320 0.6993E+00  138.0847
     27    28.00000  138.0450 0.7483E+00  137.3738
     28    29.00000  137.4580 0.7991E+00  136.7628
     29    30.00000  136.9455 0.8517E+00  136.2264
     30    31.00000  136.5059 0.9065E+00  135.7628
     31    32.00000  136.1203 0.9629E+00  135.3534
     32    33.00000  135.7853 0.1021E+01  134.9944
     33    34.00000  135.4944 0.1082E+01  134.6796
     34    35.00000  135.2331 0.1144E+01  134.3944
     35    36.00000  135.0021 0.1208E+01  134.1395
     36    37.00000  134.7984 0.1273E+01  133.9120
     37    38.00000  134.6090 0.1341E+01  133.6985
     38    39.00000  134.4356 0.1410E+01  133.5013
     39    40.00000  134.2773 0.1482E+01  133.3192
     40    41.00000  134.1291 0.1555E+01  133.1469
     41    42.00000  133.9834 0.1629E+01  132.9774
     42    43.00000  133.8461 0.1706E+01  132.8163
     43    44.00000  133.7143 0.1785E+01  132.6606
     44    45.00000  133.5855 0.1864E+01  132.5078
     45    46.00000  133.4555 0.1946E+01  132.3539
     46    47.00000  133.3247 0.2029E+01  132.1993
     47    48.00000  133.1975 0.2114E+01  132.0483
     48    49.00000  133.0723 0.2200E+01  131.8991
     49    50.00000  132.9428 0.2288E+01  131.7458
     50    51.00000  132.8076 0.2377E+01  131.5867
     51    52.00000  132.6732 0.2469E+01  131.4285
     52    53.00000  132.5396 0.2562E+01  131.2710
     53    54.00000  132.4051 0.2656E+01  131.1127
     54    55.00000  132.2634 0.2752E+01  130.9471
     55    56.00000  132.1158 0.2849E+01  130.7757
     56    57.00000  131.9673 0.2948E+01  130.6033
     57    58.00000  131.8193 0.3049E+01  130.4315
     58    59.00000  131.6705 0.3150E+01  130.2589
     59    60.00000  131.5191 0.3253E+01  130.0837
     60    61.00000  131.3540 0.3358E+01  129.8948
     61    62.00000  131.1862 0.3464E+01  129.7031
     62    63.00000  131.0189 0.3571E+01  129.5119
     63    64.00000  130.8520 0.3680E+01  129.3212
     64    65.00000  130.6840 0.3790E+01  129.1294
     65    66.00000  130.5107 0.3902E+01  128.9324
     66    67.00000  130.3283 0.4015E+01  128.7261
     67    68.00000  130.1427 0.4129E+01  128.5166
     68    69.00000  129.9560 0.4244E+01  128.3062
     69    70.00000  129.7691 0.4361E+01  128.0956
     70    71.00000  129.5829 0.4479E+01  127.8855
     71    72.00000  129.3940 0.4598E+01  127.6729
     72    73.00000  129.1999 0.4718E+01  127.4549
     73    74.00000  128.9958 0.4841E+01  127.2270
     74    75.00000  128.7919 0.4963E+01  126.9993
     75    76.00000  128.5893 0.5087E+01  126.7730
     76    77.00000  128.3867 0.5213E+01  126.5466
     77    78.00000  128.1837 0.5340E+01  126.3198
     78    79.00000  127.9801 0.5467E+01  126.0925
     79    80.00000  127.7657 0.5596E+01  125.8543
     80    81.00000  127.5475 0.5726E+01  125.6124
     81    82.00000  127.3241 0.5856E+01  125.3652
     82    83.00000  127.1033 0.5989E+01  125.1207
     83    84.00000  126.8837 0.6122E+01  124.8773
     84    85.00000  126.6639 0.6257E+01  124.6339
     85    86.00000  126.4442 0.6392E+01  124.3904
     86    87.00000  126.2245 0.6528E+01  124.1470
     87    88.00000  125.9946 0.6666E+01  123.8934
     88    89.00000  125.7592 0.6804E+01  123.6343
     89    90.00000  125.5214 0.6943E+01  123.3727
     90    91.00000  125.2834 0.7082E+01  123.1110
     91    92.00000  125.0460 0.7224E+01  122.8499
     92    93.00000  124.8099 0.7366E+01  122.5901
     93    94.00000  124.5767 0.7510E+01  122.3331
     94    95.00000  124.3432 0.7655E+01  122.0760
     95    96.00000  124.1096 0.7800E+01  121.8187
     96    97.00000  123.8666 0.7946E+01  121.5521
     97    98.00000  123.6164 0.8092E+01  121.2781
     98    99.00000  123.3666 0.8239E+01  121.0046
     99   100.00000  123.1171 0.8387E+01  120.7314
    100   101.00000  122.8710 0.8537E+01  120.4617
    101   102.00000  122.6267 0.8688E+01  120.1937
    102   103.00000  122.3830 0.8839E+01  119.9264
    103   104.00000  122.1396 0.8992E+01  119.6593
    104   105.00000  121.8946 0.9145E+01  119.3907
    105   106.00000  121.6485 0.9299E+01  119.1210
    106   107.00000  121.3965 0.9453E+01  118.8453
    107   108.00000  121.1390 0.9608E+01  118.5642
    108   109.00000  120.8829 0.9763E+01  118.2844
    109   110.00000  120.6287 0.9919E+01  118.0066
    110   111.00000  120.3755 0.1008E+02  117.7299
    111   112.00000  120.1261 0.1023E+02  117.4568
    112   113.00000  119.8768 0.1039E+02  117.1839
    113   114.00000  119.6323 0.1055E+02  116.9158
    114   115.00000  119.3878 0.1072E+02  116.6477
    115   116.00000  119.1367 0.1088E+02  116.3730
    116   117.00000  118.8834 0.1104E+02  116.0961
    117   118.00000  118.6273 0.1120E+02  115.8164
    118   119.00000  118.3678 0.1136E+02  115.5333
    119   120.00000  118.1086 0.1153E+02  115.2505
    120   121.00000  117.8526 0.1169E+02  114.9709
    121   122.00000  117.5966 0.1186E+02  114.6914
    122   123.00000  117.3450 0.1203E+02  114.4162
    123   124.00000  117.0955 0.1219E+02  114.1431
    124   125.00000  116.8471 0.1236E+02  113.8712
    125   126.00000  116.6026 0.1253E+02  113.6032
    126   127.00000  116.3580 0.1270E+02  113.3351
    127   128.00000  116.1055 0.1287E+02  113.0591
    128   129.00000  115.8504 0.1304E+02  112.7804
    129   130.00000  115.5952 0.1321E+02  112.5017
    130   131.00000  115.3395 0.1338E+02  112.2224
    131   132.00000  115.0837 0.1355E+02  111.9432
    132   133.00000  114.8322 0.1373E+02  111.6681
    133   134.00000  114.5833 0.1390E+02  111.3958
    134   135.00000  114.3344 0.1407E+02  111.1234
    135   136.00000  114.0907 0.1425E+02  110.8562
    136   137.00000  113.8473 0.1442E+02  110.5893
    137   138.00000  113.6054 0.1460E+02  110.3239
    138   139.00000  113.3680 0.1477E+02  110.0630
    139   140.00000  113.1306 0.1495E+02  109.8022
    140   141.00000  112.8876 0.1513E+02  109.5357
    141   142.00000  112.6390 0.1531E+02  109.2637
    142   143.00000  112.3905 0.1549E+02  108.9918
    143   144.00000  112.1457 0.1566E+02  108.7234
    144   145.00000  111.9024 0.1584E+02  108.4567
    145   146.00000  111.6591 0.1602E+02  108.1899
    146   147.00000  111.4212 0.1620E+02  107.9287
    147   148.00000  111.1845 0.1638E+02  107.6685
    148   149.00000  110.9477 0.1656E+02  107.4084
    149   150.00000  110.7168 0.1675E+02  107.1541
    150   151.00000  110.4865 0.1693E+02  106.9003
    151   152.00000  110.2561 0.1712E+02  106.6466
    152   153.00000  110.0289 0.1730E+02  106.3960
    153   154.00000  109.8020 0.1749E+02  106.1456
    154   155.00000  109.5750 0.1768E+02  105.8952
    155   156.00000  109.3399 0.1786E+02  105.6368
    156   157.00000  109.1038 0.1805E+02  105.3773
    157   158.00000  108.8676 0.1823E+02  105.1177
    158   159.00000  108.6364 0.1842E+02  104.8631
    159   160.00000  108.4065 0.1860E+02  104.6099
    160   161.00000  108.1766 0.1879E+02  104.3566
    161   162.00000  107.9517 0.1898E+02  104.1084
    162   163.00000  107.7299 0.1917E+02  103.8633
    163   164.00000  107.5081 0.1936E+02  103.6182
    164   165.00000  107.2889 0.1955E+02  103.3757
    165   166.00000  107.0738 0.1975E+02  103.1372
    166   167.00000  106.8586 0.1994E+02  102.8986
    167   168.00000  106.6435 0.2013E+02  102.6603
    168   169.00000  106.4295 0.2032E+02  102.4230
    169   170.00000  106.2155 0.2052E+02  102.1856
    170   171.00000  106.0015 0.2071E+02  101.9483
