#
# This table lists comments for all keys in the EXES header structure.
# Keys are defined in a separate table (headerdef.dat).
# The key column is separated from the comment column by a comma.
#
#keyword ,  comment
#-----------------------------------------------------------------
AIRSPEED , True aircraft speed
ALTI_STA , Altitude at start of observation
ALTI_END , Altitude at end of observation
AOR_ID   , Astronomical observation request ID
AOT_ID   , Astronomical observation template ID
ASSC_AOR , All input AOR-IDs
ASSC_MSN , All input MISSN-IDs
ASSC_OBS , All input OBS-IDs
BB_TEMP  , Blackbody temperature
BEAMTIME , Frtime*nframe*nspin*nsum
BNU_T    , Average blackbody calibration value
BOUNCE   , Debounce parameter
BPM      , Bad pixel mask
BRL      , Barrel (tort parameter)
BUNIT    , Data units
CARDMODE , Card mode
CHOPPING , Chopping flag
CREATOR  , File creation task
DARKVAL  , Dark current value
DATAPATH , EXES data file path
DATASRC  , Data source
DATATYPE , Data type
DATE     , Date of file creation
DATE-OBS , UTC Date of exposure start
DEPLOY   , Site deployment
DETECTOR , Detector name
DETROT   , Detector rotation (tort parameter)
DETSEC   , Detector section
DETSIZE  , Detector size
DITHER   , Dithering flag
DRKFILE  , Dark file
DTHINDEX , Dither position index
DTHNPOS  , Number of dither positions
DTHOFFS  , Dither offset (arcsec)
DTHPATT  , Dither pattern
ECHELLE  , Echelle grating angle (deg)
ECTPAT   , EXES clock patt. 3rd # is skip 2 row
EFL      , Adjusted focal length
EFL0     , Assumed focal length
EPERADU  , Gain (electrons per DN)
EQUINOX  , Coordinate equinox for OBSRA/DEC
EXCLUDE  , Nod-pairs to exclude from coadd
EXPTIME  , Total on-source exposure time (s)
FBC-STAT , FBC status at obs. end
FDATE    , Floating point date
FILENAME , Name of host file
FILENUM  , Raw file number
FILEREV  , File revision identifier
FLATEMIS , Flat mirror emissivity
FLATTAMB , Flat mirror ambient temperature
FLIGHTLG , Flight leg
FOCUS_EN , Telescope focus (um), obs.end 
FOCUS_ST , Telescope focus (um), obs.start
FRAMETIM , Integration time per frame
GRATANGL , Grating angle (deg)
GRDSPEED , Aircraft ground speed
HEADING  , Aircraft true heading
HEADSTAT , Header status
HRDGR    , hrdgr (tort parameter)
HRFL     , hrfl (tort parameter)
HRFL0    , hrfl0 (tort parameter)
HRG      , hrg (tort parameter)
HRR      , R number of echelon grating
IMAGEID  , Image identification index
INSTCFG  , Instrument configuration
INSTMODE , Instrument observing mode
INSTRUME , Instrument name
INTTIME  , Total integration time (s)
KROT     , K-mirror rotation angle (rad)
KWDICT   , SOFIA Keyword dictionary version
LASTREW  , Time of last rewind (UTC)
LAT_STA  , Aircraft latitude, start of obs
LAT_END  , Aircraft latitude, end of obs.
LINFILE  , Linearity coefficients file
LO_LIM   , Lower limit for linearity correction
LON_STA  , Aircraft longitude, start of obs
LON_END  , Aircraft longitude, end of obs.
MAPCRSYS , Coordinate system for mapping
MAPINTX  , Mapping step interval in x (arcmin)
MAPINTY  , Mapping step interval in y (arcmin)
MAPNXPOS , Number of map positions in x
MAPNYPOS , Number of map positions in y
MAPPING  , Mapping flag
MCCSMODE , MCCS SI Mode
MISSN-ID , Mission ID
NAIF_ID  , NAIF_ID from UI
NBELOW   , Number of unilluminated pixels per order
NEXP     , Number of exposures in source
NFRAME   , Number of frames coadded in hardware
NINT     , Number of repetitions of OTPAT before move
NODAMP   , Nod amplitude on sky
NODANGLE , Nod angle
NODBEAM  , Nod beam position
NODCRSYS , Coordinate system for nod angle
NODDING  , Nodding flag
NODN     , Nod cycles
NODPATT  , Nodding pattern, one cycle
NODSETL  , Nod settle time
NODSTYLE , Chop/nod style
NODTIME  , Nod time
NORDERS  , Number of orders
NSPAT    , Array size in spatial dimension
NSPEC    , Array size in spectral dimension
NSUM     , Number of frames coadded in software
NT       , Number of pixels in an order
OBJECT   , Object name
OBS_ID   , SOFIA observation identification
OBSDEC   , Dec - requested
OBSERVER , Observer(s)
OBSRA    , RA - requested
OBSTYPE  , Observation type
OMEGAP   , Solid angle / pixel
OPERATOR , Telescope operator
ORDR_B   , Bottom pixel for undistorted order
ORDR_T   , Top pixel for undistorted order
ORDR_S   , Starting pixel for undistorted order
ORDR_E   , Ending pixel for undistorted order
ORIGIN   , Origin of FITS file
OTPAT    , Opstable pattern
PAGAIN   , Preamp electronic gain
PINHOLE  , Pinhole mode
PIPELINE , Pipeline/processing software
PIPEVERS , Pipeline version
PIXELWD  , Pixel width (cm)
PIXSCAL  , Pixel scale
PKGPATH  , EXES software file path
PLANID   , Observing plan identification
PLTSCALE , Arcsec/pixel
PROCSTAT , Processing status
PRODTYPE , Product type
RAWFNAME , Raw file name
READNOIS , Read noise
RESOLUN  , Nominal spectral resolution
SATVAL   , Saturation value
SCANNING , Scanning flag
SDEG     , Slit wheel angle (deg)
SIBS_X   , SI Boresight (x)
SIBS_Y   , SI Boresight (y)
SLIT     , Instrument slit
SLITOFF  , Slit offset for grating equation
SLITROT  , Slit rotation (tort parameter)
SLITVAL  , Slit wheel angle (cm)
SLITWID  , Slit width (arcsec)
SPACING  , Order separation in pixels
SPECTEL1 , First spectral element
SPECTEL2 , Second spectral element
SPIKEFAC , Spike identification factor
SRCTYPE  , Source type
STDFAC   , Noise identification factor
SUBARRNO , Number of subarrays used
TELCONF  , Telescope configuration
TELEL    , Telescope elevation
TELEQUI  , Equinox of ERF coordinates
TELESCOP , Telescope name
TELDEC   , SI boresight Dec
TELLOS   , Telescope LOS
TELRA    , SI boresight RA
TELVPA   , SI boresight VPA
TELXEL   , Telescope cross elevation
TEMP_OUT , Air temperature outside aircraft
TEMPPRI1 , Temperature of primary mirror
TEMPPRI2 , Temperature of primary mirror
TEMPPRI3 , Temperature of primary mirror
TEMPSEC1 , Temperature of secondary mirror
THRFAC   , Illumination threshold factor
TOTTIME  , Total elapsed time (s)
TRACERR  , Tracking error flag
TRACKANG , Aircraft track angle
TRACMODE , Tracking mode
TRASH    , Trashed frame identification parameter
TSC-STAT , TASCU status at obs. end
UP_LIM   , Upper limit for linearity correction
UTCSTART , UTC of exposure start
UTCEND   , UTC of exposure end
WAVECENT , Calculated mean wavelength
WAVENO0  , Planned central wavenumber
WNO0     , Calculated wavenumber at central pixel
WVZ_STA  , Water vapor at zenith, obs. start
WVZ_END  , Water vapor at zenith, obs. end
X0BRL    , x0brl (tort parameter)
XD0      , xd0 (tort parameter)
XDDELTA  , xddelta (tort parameter)
XDDGR    , xddgr (tort parameter)
XDFL     , Adjusted XD focal length
XDFL0    , Assumed XD focal length
XDG      , xdg (tort parameter)
XDLRDGR  , xdlrdgr (tort parameter)
XDMRDGR  , xdmrdgr (tort parameter)
XDR      , xdr (tort parameter)
XORDER1  , First pixel of order 1
Y0BRL    , y0brl (tort parameter)
ZA_START , Telescope zenith angle, obs. start
ZA_END   , Telescope zenith angle, obs. end
