date	p0	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p20	p21	p22	p23	p24
20180201	1.30865808	1.15993177	0.62952920	1.41034870	0.50563565	0.70516789	1.29527033	1.04392346	1.68506203	0.57545937	1.54686929	1.28801448	0.95784211	0.98349283	0.65306164	1.27580035	0.77022763	0.87874241	1.22843276	0.67568461	0.83933710	1.23119687	1.11644907	0.92636171	0.19613619
20180801	1.28581880	1.12214048	0.64215451	1.37320183	0.60112460	0.72362965	1.22564364	1.01412386	1.64137161	0.67174359	1.55799153	1.23189226	0.89148932	0.97710301	0.82606387	1.26363055	0.75698926	0.93034656	1.14008040	0.85376854	0.83305753	1.19861570	1.05857005	0.96619315	0.27069748
20181001	1.23913620	1.12921952	0.60978943	1.31324075	0.68458866	0.68527641	1.23759044	0.98474549	1.64825002	0.73614673	1.51747636	1.24270899	0.85918677	0.94897038	0.93728088	1.26178360	0.75817469	0.88804024	1.09534566	1.04015546	0.83158853	1.18956690	1.00082074	0.95385879	0.32551621
20190201	1.23267988	1.13619440	0.61783942	1.34133962	0.64944742	0.68624290	1.23445032	0.97770729	1.60579963	0.72589017	1.53145903	1.25906339	0.84166352	0.92039523	0.94617201	1.26693675	0.76282123	0.88013340	1.09445642	1.04744648	0.81918340	1.18702662	1.01662346	0.95625595	0.33135606
20190401	1.16861684	1.18018205	0.61158563	1.29859689	0.69708202	0.66648763	1.22828082	0.96031124	1.60847951	0.76634122	1.48024646	1.23452856	0.83984757	1.00950459	0.98208459	1.26459198	0.76221738	0.86972258	1.08479974	1.05953884	0.81478963	1.17457575	1.00432456	0.93083813	0.34596566
20191001	1.12956883	1.14408075	0.59742736	1.31864739	0.71318883	0.61448315	1.24937609	0.94637776	1.58941102	0.78774067	1.48997157	1.27369766	0.81051189	0.88293682	1.07332081	1.23512355	0.76421159	0.84087219	1.08254434	1.24021192	0.77875793	1.16800092	0.95799049	0.93055117	0.42599778
20200201	1.19623690	1.13866964	0.60467145	1.33663061	0.70898702	0.66277773	1.22546027	0.95536442	1.61398118	0.76349036	1.46421391	1.25640990	0.85536008	0.97256095	0.98217194	1.25630409	0.75449906	0.85904475	1.13326097	1.07552994	0.80368513	1.16847393	0.97395694	0.93809677	0.35065416
20200801	1.19935114	1.13004098	0.60855512	1.34520324	0.64393631	0.65721168	1.24334216	0.98045321	1.61179613	0.73713879	1.49879166	1.25030480	0.83434665	0.86255389	0.98251622	1.26762915	0.75524730	0.91696998	1.13450451	1.09835257	0.79976319	1.17488523	1.03263630	0.94221946	0.35123246
20210401	1.27354393	1.10423161	0.61795465	1.35912068	0.60402929	0.69666689	1.23111248	1.01644118	1.65203439	0.67593084	1.58169464	1.25300731	0.88380351	0.90898162	0.90106406	1.28802752	0.76156372	0.94255087	1.09830183	0.96728490	0.83345727	1.20784293	1.07549665	0.95735944	0.30084559
99999999	1.23308190	1.09864536	1.00000000	1.31940274	0.55701720	0.66825698	1.20506254	0.98726621	1.58677611	0.65951847	1.54332329	1.21417802	0.83701823	0.92258396	0.87114073	1.24002782	0.73590883	0.86758414	1.08146106	0.93538734	1.00000000	1.16662107	1.01490208	0.90037962	0.29048225
