date	p0	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p20	p21	p22	p23	p24
20180201	0.88163390	0.92873920	1.08541865	1.03282866	0.43659717	0.89709727	1.11706762	1.13065130	0.95536154	0.55699692	1.09186351	1.20668114	0.88903909	0.99342532	0.68220026	1.20966975	1.27546847	1.41018939	1.27842785	0.61719753	0.94230698	1.47370739	0.82316641	1.08664156	0.73164730
20180801	0.91391059	0.91009722	1.07901773	1.00279292	0.39284905	0.93643398	1.10979047	1.10639001	0.92666183	0.51732829	1.09774394	1.20629824	0.88424108	0.99145840	0.62807558	1.23176852	1.24980627	1.37185013	1.23464026	0.56301517	0.93372073	1.44510760	0.79286755	1.05860122	0.67451204
20181001	0.87078856	0.92150746	1.07798498	1.03320831	0.43801597	0.90777861	1.10607239	1.10035401	0.93454096	0.55102414	1.07115009	1.23020056	0.89605011	1.00087454	0.67023656	1.20555592	1.26992092	1.38202604	1.26304210	0.60713565	0.92483684	1.45082071	0.82070986	1.07840646	0.72578994
20190201	0.79126020	0.93844305	1.12827896	1.08869566	0.54349294	0.84891813	1.12638544	1.14484967	0.98202567	0.67475814	0.97197400	1.25223496	0.89518032	1.03300371	0.80233593	1.12775132	1.29759289	1.40164058	1.30535639	0.74059076	0.85667615	1.47462937	0.84005340	1.10619075	0.88387827
20190401	0.82892220	0.92554159	1.11376836	1.06961057	0.48735631	0.87612033	1.11220644	1.12409283	0.96554406	0.62146950	1.01571152	1.23796222	0.90297129	1.02121079	0.74324356	1.15791453	1.28099786	1.37510465	1.29054439	0.67311184	0.86731008	1.45448928	0.81656677	1.09538628	0.81121008
20191001	0.90091319	0.90026347	1.08355203	1.03324719	0.40120574	0.90579361	1.10382467	1.12669633	0.95056900	0.52257586	1.05160695	1.20499426	0.87837875	1.01168682	0.63790388	1.19187019	1.26236656	1.38909087	1.28298283	0.58287679	0.93017217	1.45049572	0.81464528	1.09209364	0.69379706
20200201	1.00127443	0.90365711	1.02316459	0.97947788	0.26794380	0.97775271	1.07949613	1.08496287	0.89159548	0.37102384	1.14762504	1.21149547	0.87281882	0.96573879	0.46654880	1.28884502	1.23743944	1.34198715	1.20393066	0.41677773	0.97907510	1.44013915	0.79770226	1.04469086	0.49815846
20210401	0.97190259	0.90806550	1.01870316	0.98036710	0.29796503	0.95774458	1.08620047	1.10212682	0.89822288	0.41779693	1.09379639	1.19995876	0.87492085	0.97139174	0.51179663	1.25701403	1.24839687	1.36556870	1.21050825	0.46251845	0.96616589	1.44991288	0.80476884	1.04245633	0.55112986
20210501	0.63348503	0.93118079	1.08185277	1.09597326	0.68633421	0.70856619	1.13058249	1.15864936	0.99361601	0.83229671	0.83931209	1.23607437	0.91096310	1.05701670	0.95462436	0.94635978	1.30531258	1.42842996	1.33248545	0.86774713	0.71310095	1.50585560	0.83360315	1.12217572	1.04262406
20211201	0.63348503	0.93118079	1.08185277	1.09597326	0.68633421	0.70856619	1.13058249	1.15864936	0.99361601	0.83229671	0.83931209	1.23607437	0.91096310	1.05701670	0.95462436	0.94635978	1.30531258	1.42842996	1.33248545	0.86774713	0.71310095	1.50585560	0.83360315	1.12217572	1.04262406
20220201	0.85510396	0.92244044	1.04404658	1.04515074	0.48543562	0.88845484	1.11333663	1.11721757	0.94634768	0.61127531	1.03845862	1.21915120	0.90115108	1.02555613	0.72139167	1.17352675	1.26950463	1.38772274	1.28394747	0.66581663	0.89246345	1.49361070	0.80464098	1.08405325	0.79152071
20220801	0.81666248	0.91994709	1.06055987	1.07577321	0.54828790	0.86295575	1.13349582	1.13646054	0.96659757	0.66546911	1.00827451	1.22520659	0.90732184	1.03179341	0.78557266	1.13539191	1.28566197	1.39520470	1.29478588	0.72757817	0.85797150	1.48766330	0.81246722	1.09380702	0.85886262
99999999	0.80770750	0.93689306	1.06214968	1.06625324	0.55411915	0.86050251	1.13658362	1.13645177	0.96325527	0.67822379	1.00248570	1.23721589	0.90565010	1.03346880	0.80022279	1.13526436	1.29189256	1.42337577	1.29101251	0.73553805	0.86039093	1.50367280	0.82518850	1.09985572	0.87814990
