date	p0	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p20	p21	p22	p23	p24
20170701	1.01646710	0.92350860	1.03710661	0.99598871	0.37183631	0.98839018	1.15837179	1.19155004	0.97706699	0.50212216	1.21536421	1.25837144	0.94059113	1.00000000	0.62986111	1.27966400	1.31567791	1.46378515	1.25565025	0.57515940	0.97933143	1.49378991	0.84050659	1.06406916	0.64215309
20180201	0.79618321	0.91131003	1.01362903	1.00420371	0.52227653	0.82492830	1.11618191	1.14072633	0.98143397	0.65660103	1.01705553	1.24231869	0.91361948	1.00000000	0.79158832	1.07143465	1.28231399	1.42664917	1.25406743	0.73818176	0.81983868	1.47096332	0.81811398	1.04379539	0.81870130
20180801	1.04209282	0.89429848	1.01003786	0.94376953	0.34727574	1.00000000	1.14134822	1.14687998	0.94237838	0.46024866	1.17417296	1.22394222	0.91533057	0.97566371	0.58221223	1.26905121	1.28088883	1.39696443	1.18916246	0.53202731	0.97266333	1.43756833	0.80437546	1.00243317	0.58627876
20181001	1.01960986	0.90752168	1.02701677	0.98392648	0.38435972	0.98837407	1.13740624	1.11993069	0.95064848	0.49497977	1.16250141	1.24520206	0.93472604	1.00000000	0.62409327	1.26924182	1.29085065	1.41631788	1.22620313	0.56444320	0.97730474	1.46717377	0.82810129	1.03475651	0.63822295
20190201	0.90740820	0.88963363	1.01801196	1.00000000	0.46251601	0.91082254	1.13794549	1.16247643	0.97925944	0.59408699	1.04609790	1.23263875	0.91216121	1.01264024	0.72407709	1.17957037	1.29502497	1.40618955	1.24925669	0.66840835	0.89664479	1.43594032	0.81568481	1.02188055	0.75527577
20190401	0.96014949	0.90514814	1.03598416	1.00000000	0.42941455	0.95345469	1.14039481	1.15520594	0.97915250	0.55534330	1.08812898	1.24983924	0.94022245	1.02342758	0.68698889	1.22341774	1.30873270	1.43092986	1.25414803	0.62586795	0.92646003	1.44295180	0.80342398	1.04107700	0.70782759
20191001	1.04804037	0.88898407	1.01389707	0.94406161	0.33355758	1.00000000	1.13192923	1.17138691	0.94326029	0.45419645	1.13891146	1.23518329	0.92014808	0.99959812	0.56637475	1.27513424	1.29732046	1.41244968	1.20443048	0.51738123	0.98411316	1.44816444	0.79541103	1.01369061	0.58629145
20200201	1.12348757	0.90320288	1.00000000	0.90930568	0.27385073	1.04372831	1.14048528	1.15112106	0.90838405	0.37172988	1.23720969	1.24499913	0.92778562	0.95694937	0.49627754	1.34404086	1.29280489	1.41996998	1.17173498	0.45206783	1.02244674	1.47132146	0.80149927	0.99626060	0.50765845
20200801	1.11123050	0.89700596	0.99138037	0.91680608	0.27544828	1.04185487	1.13442088	1.14989573	0.92882833	0.39751021	1.18245176	1.25205311	0.92333003	0.98370349	0.50914621	1.32306377	1.29910877	1.42799501	1.18524226	0.46599310	1.02135834	1.47548893	0.80593906	1.00000000	0.51406643
20210401	0.92363205	0.89666376	1.00214642	1.00000000	0.46369904	0.92270084	1.12752127	1.14264152	0.98169890	0.58627934	1.06171171	1.24399931	0.91119158	1.02606426	0.71241398	1.18961377	1.29770218	1.42324154	1.24745557	0.65279836	0.90391123	1.44234521	0.80213834	1.03370184	0.73857914
20210501	0.76119178	0.89781579	1.01917912	1.02872624	0.58528861	0.78996968	1.13154533	1.15537217	1.00000000	0.73504257	0.91564005	1.25629128	0.94113248	1.04648891	0.86768639	1.01982029	1.30179221	1.43520981	1.26529903	0.79005829	0.78054126	1.46700683	0.80616060	1.05269680	0.90260703
20211201	0.76119178	0.89781579	1.01917912	1.02872624	0.58528861	0.78996968	1.13154533	1.15537217	1.00000000	0.73504257	0.91564005	1.25629128	0.94113248	1.04648891	0.86768639	1.01982029	1.30179221	1.43520981	1.26529903	0.79005829	0.78054126	1.46700683	0.80616060	1.05269680	0.90260703
20220201	0.98309516	0.91360395	1.00652201	1.00000000	0.42531159	0.96043543	1.13941610	1.11614510	0.97081339	0.55229840	1.11564921	1.27103386	0.94804151	1.03221278	0.68129370	1.23901674	1.29452255	1.43408789	1.25664644	0.62690865	0.95673611	1.48426091	0.79083206	1.04179531	0.70170646
20220801	0.92519380	0.90939272	1.00000000	1.00290420	0.47033015	0.92465062	1.13612650	1.15314701	0.97781601	0.59701546	1.07221750	1.24648496	0.91219067	1.00938839	0.72385470	1.17525129	1.27859783	1.40355432	1.24167719	0.66436734	0.90532584	1.45843041	0.78135366	1.03106565	0.74784976
99999999	0.92032474	0.90770555	1.00611392	1.00000000	0.47907410	0.92131669	1.14498047	1.13209677	0.97117392	0.60916620	1.06118397	1.25538229	0.93224477	1.02812237	0.73874812	1.17782300	1.28297942	1.41002426	1.23980016	0.66650678	0.90752870	1.47464705	0.79679294	1.04891138	0.76793430
