date	p0	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p20	p21	p22	p23	p24
20180201	1.30271609	1.15474986	0.62407083	1.40421713	0.50512976	0.70116472	1.28964838	1.03966658	1.67438284	0.57277307	1.53405819	1.28174135	0.95508814	0.97961533	0.64899629	1.26891888	0.76760538	0.96727242	1.22554651	0.66958177	0.83754941	1.22630238	1.10466779	0.92364588	0.19475081
20180801	1.28447140	1.12146964	0.63910157	1.37090244	0.60178558	0.72143275	1.22527109	1.01400942	1.63703678	0.66988460	1.54642442	1.22970484	0.89314174	0.98022320	0.82531009	1.26055505	0.75671660	0.93165589	1.13528230	0.84923085	0.83275004	1.19707500	1.05814786	0.96553316	0.27034363
20181001	1.23677217	1.12785439	0.60654950	1.31176374	0.68779101	0.68296073	1.23580234	0.98544947	1.64546960	0.73398709	1.50998175	1.23837914	0.86168055	0.95351844	0.93778153	1.25889465	0.75815974	0.89422269	1.09662051	1.03897786	0.83330840	1.19018096	1.00048042	0.95277180	0.32654860
20190201	1.23091453	1.13263618	0.62114594	1.33989876	0.64743537	0.68506793	1.23383783	0.97810219	1.61317678	0.72320478	1.52336059	1.25720382	0.84385824	0.92213349	0.94748397	1.26467689	0.76395313	0.88779788	1.09469782	1.04593580	0.81928041	1.18833568	1.01086778	0.95570278	0.33225028
20190401	1.16689211	1.17981763	0.60815693	1.29694194	0.69554502	0.66442409	1.22818377	0.96145964	1.60774786	0.76489112	1.47566670	1.23300946	0.84265061	1.01504484	0.98305138	1.26300269	0.76236373	0.87561260	1.08683973	1.05923457	0.81518542	1.17419908	0.99716172	0.93131109	0.34627510
20191001	1.12961650	1.14359319	0.59527911	1.31739950	0.71541030	0.61301430	1.24946408	0.94658057	1.58707108	0.78574914	1.48543650	1.27289050	0.81294910	0.88634886	1.07056890	1.23392092	0.76938172	0.84237474	1.08482037	1.23606516	0.78016725	1.16805780	0.95893850	0.93426259	0.42500982
20200201	1.19445463	1.13699608	0.60177673	1.33506612	0.71403103	0.66134517	1.22375127	0.95511147	1.61141035	0.76065613	1.45723499	1.25300398	0.85773335	0.97579264	0.98345251	1.25480863	0.75509607	0.86373296	1.13363622	1.07259070	0.80543819	1.16853119	0.96810155	0.93822014	0.35038855
20200801	1.20270587	1.13239478	0.60461567	1.34791595	0.65899660	0.65911893	1.24564113	0.98138325	1.61464210	0.73579903	1.49230605	1.25284256	0.84202259	0.86790868	0.98860884	1.27082114	0.75699291	0.92603884	1.13870444	1.09740320	0.80325866	1.17956964	1.03508677	0.94135834	0.35261635
20210401	1.27315912	1.10409463	0.61559140	1.35741215	0.60630401	0.69434718	1.22944684	1.01616325	1.65128736	0.67354949	1.57675950	1.25294159	0.88561742	0.91189395	0.89992558	1.28782433	0.76283149	0.95009158	1.10157278	0.96241314	0.83356819	1.20511037	1.07287281	0.95881560	0.29964101
20210501	1.23119182	1.10024910	1.00000000	1.31717155	0.54999386	0.66852997	1.20642435	0.98665430	1.58479983	0.65669638	1.53948197	1.21350196	0.83747852	0.92501738	0.87269401	1.23871552	0.73564257	0.89272341	1.07466180	0.93266550	1.00000000	1.16580917	1.00938250	0.89962433	0.29015289
20211201	1.20943534	1.07932459	1.00000000	1.29351458	0.53987967	0.65642132	1.18426964	0.96715163	1.55493583	1.00000000	1.51181632	1.19165381	0.82249435	0.90856053	0.85652477	1.21663107	0.72434231	0.87645382	1.05483690	0.91593347	1.00000000	1.14399150	0.99127199	0.88270859	0.28487478
20220201	1.07850819	1.15611833	0.00187821	1.32601764	0.73592288	0.58317428	1.27021921	0.94551713	1.56620761	0.00009925	1.40498431	1.27384391	0.81179454	0.92909533	1.14699473	1.23211434	0.76685141	0.87129321	1.10914285	1.30674198	-0.00030747	1.16641573	0.96260431	0.93454040	0.45434675
99999999	1.08209669	1.13961516	0.00170588	1.33161638	0.73904984	0.58195424	1.27347485	0.95472479	1.58796309	0.00004479	1.42624921	1.29523919	0.81218874	0.88356046	1.18895461	1.22894930	0.77388189	0.86022032	1.11942985	1.35158191	-0.00009153	1.18612072	0.96448221	0.92774552	0.46588827
