#
# This table lists comments for all keys in the FIFI-LS header definition.
# Keys are defined in a separate table (headerdef.dat).
# The key column is separated from the comment column by a comma.
#
#keyword ,  comment
#-----------------------------------------------------------------
AIRSPEED , "True aircraft speed"
ALTI_END , "Altitude at end of observation"
ALTI_STA , "Altitude at start of observation"
AOR_ID   , "Astronomical observation request ID"
AOT_ID   , "Astronomical observation template ID"
ASSC_AOR , "All input AOR-IDs"
ASSC_MSN , "All input MISSN-IDs"
ASSC_OBS , "All input OBS-IDs"
ATRNFILE , "ATRAN file name"
BDPXFILE , "Bad pixel file name"
BGLEVL_A , "Background level in A nod"
BGLEVL_B , "Background level in B nod"
C_CHOPLN , "Number of readouts per chop position"
C_SCHEME , "Chopper scheme; 2POINT or 4POINT"
CHOPPING , "Chopping flag"
CHPAMP1  , "Chop amplitude 1 (arcsec)"
CHPAMP2  , "Chop amplitude 2 (arcsec)"
CHPANGLE , "Chop angle"
CHPCRSYS , "Chop coordinate system"
CHPFREQ  , "Chop frequency (Hz)"
CHPPHASE , "Chop phase (milliseconds)"
CHPPROF  , "Chop profile; 2 or 3 point"
CHPSYM   , "Chop symmetry"
CHPTIP   , "Chop tip"
CHPTILT  , "Chop tilt"
CREATOR  , "File creation task"
DATAQUAL , "Data quality assessment"
DATASRC  , "Data source"
DATATYPE , "Data type"
DATE     , "Date of file creation"
DATE-BEG , "UTC Date of exposure start"
DATE-END , "UTC Date of exposure end"
DATE-OBS , "UTC Date of exposure start"
DBET_MAP , "Map offset (arcsec)"
DEPLOY   , "Site deployment"
DETCHAN  , "Detector channel"
DETECTOR , "Detector name"
DETSIZE  , "Detector size"
DICHROIC , "Dichroic wavelength (um)"
DITHER   , "Dithering flag"
DLAM_MAP , "Map offset (arcsec)"
DTHCRSYS , "Dither coordinate system"
DTHINDEX , "Dither position index"
DTHNPOS  , "Number of dither positions"
DTHOFFS  , "Dither offset (arcsec)"
DTHPATT  , "Dither pattern"
DTHXOFF  , "Dither offset in X axis (arcsec)"
DTHYOFF  , "Dither offset in Y axis (arcsec)"
EQUINOX  , "Coordinate equinox for OBSRA/DEC"
EXPTIME  , "Total on-source exposure time"
FBC-STAT , "FBC status at obs. end"
FILENAME , "Name of host file"
FILENUM  , "Raw file number"
FILEREV  , "File revision identifier"
FLATFILE , "Flat file name"
FLIGHTLG , "Flight leg"
FOCUS_EN , "Telescope focus (um), obs.end"
FOCUS_ST , "Telescope focus (um), obs.start"
