#
# This file gives the default instrumental response files
# by channel, dichroic, and date.  Paths are relative to fifi_ls/data.
# A '.' indicates no appropriate file.
#
# Dates are in YYYYMMDD format, and mark the endpoint of applicability.
# Dates must be listed in order.  Defaults for current data should be
# listed last, with date 99999999.
#
# Channels are:
#    r: red
#    b1 : blue order 1, order 1 filter
#    b2 : blue order 2, order 2 filter
#    b21: blue order 2, order 1 filter
#
#date     ch  dich   fpath
# older filter window
20171231  b1   105   response_files/v1_filters/Response_Blue_D105_Ord1_20190705v1.fits
20171231  b1   130   response_files/v1_filters/Response_Blue_D130_Ord1_20190705v1.fits
20171231  b2   105   response_files/v1_filters/Response_Blue_D105_Ord2_20190705v1.fits
20171231  b2   130   response_files/v1_filters/Response_Blue_D130_Ord2_20190705v1.fits
20171231  r    105   response_files/v1_filters/Response_Red_D105_Ord1_20190705v1.fits
20171231  r    130   response_files/v1_filters/Response_Red_D130_Ord1_20190705v1.fits
# new filter window, starting in 2018
99999999  b1   105   response_files/v2_filters/Response_Blue_D105_Ord1_20190705v2.fits
99999999  b1   130   response_files/v2_filters/Response_Blue_D130_Ord1_20190705v2.fits
99999999  b2   105   response_files/v2_filters/Response_Blue_D105_Ord2_20190705v2.fits
99999999  b2   130   response_files/v2_filters/Response_Blue_D130_Ord2_20190705v2.fits
99999999  b21  105   response_files/v2_filters/Response_Blue_D105_Ord2_20190705v2.fits
99999999  b21  130   response_files/v2_filters/Response_Blue_D130_Ord2_20190705v2.fits
99999999  r    105   response_files/v2_filters/Response_Red_D105_Ord1_20190705v2.fits
99999999  r    130   response_files/v2_filters/Response_Red_D130_Ord1_20190705v2.fits
