# Note: Dates are end dates of applicability, i.e. they should be just beyond the end
# of the flight or flight series to which the numbers apply.
#
# Date   ch dich   b_x        a_x           Rx_cx(U) b_y         a_y          Rx_cy(V)  
# 1404
20140420  b  105   0.96        5.5479E-07   1.37     6.2851E-01 -9.2955E-09  -0.55
20140420  b  130   0.27        6.0000E-07   1.37     7.6975E-01  0.0000E+00  -0.55
20140420  r  105  -8.2487E-01 -5.0642E-08  -0.72254  7.9719E-01 -1.0000E-08  -0.68383
20140420  r  130  -4.8199E-01 -3.5000E-07  -0.72254  1.1261E+00 -2.9810E-07  -0.68383
20141231  b  105   0.96        5.5479E-07   1.37     6.2851E-01 -9.2955E-09  -0.55
20141231  b  130   0.27        6.0000E-07   1.37     7.6975E-01  0.0000E+00  -0.55
20141231  r  105  -8.2487E-01 -5.0642E-08  -0.795    7.9719E-01 -1.0000E-08  -0.34   
20141231  r  130  -4.8199E-01 -3.5000E-07  -0.795    1.1261E+00 -2.9810E-07  -0.34   
# 1502
20150501  b  105   1.3032E+00  6.0453E-07   1.70     6.6447E-01  3.1051E-08  -0.54
20150501  b  130   6.1681E-01  6.5454E-07   1.70     8.0469E-01  7.0472E-08  -0.54
20150501  r  105  -1.7505E+00 -1.2003E-07  -1.51     8.2268E-01 -3.3793E-08  -0.73
20150501  r  130  -1.4814E+00 -3.7358E-07  -1.51     1.1261E+00 -2.9810E-07  -0.73
# 1509
20151231  b  105   6.6651E-01  5.5818E-07   0.91     6.5334E-01  7.4837E-09  -0.55
20151231  b  130   3.2266E-02  6.0049E-07   0.40     7.4273E-01  5.7046E-08  -0.66
20151231  r  105  -1.8197E+00 -9.9069E-08  -1.62     7.8356E-01 -1.4301E-08  -0.64
20151231  r  130  -1.7446E+00 -1.8399E-07  -1.62     1.0517E+00 -2.8492E-07  -0.64
# 1602
20160501  b  105   4.2068E-01  5.9107E-07   0.72     7.2983E-01 -1.8282E-08  -0.60
20160501  b  130  -1.5043E-01  5.7920E-07   0.23     7.9128E-01 -2.6382E-09  -0.66
20160501  r  105  -1.7524E+00 -1.2656E-07  -1.57     8.7647E-01 -1.0215E-07  -0.63
20160501  r  130  -1.4780E+00 -3.6524E-07  -1.57     1.0383E+00 -2.9854E-07  -0.63
# 1606
20161231  b  105   3.6192E-01  5.7967E-07   0.66     7.2904E-01 -4.8343E-09  -0.61
20161231  b  130  -2.2547E-01  5.5868E-07   0.54     8.9423E-01 -2.1745E-08  -0.74
20161231  r  105  -1.5026E+00 -8.5115E-08  -1.35     8.6518E-01 -7.5541E-08  -0.67
20161231  r  130  -1.0724E+00 -5.2855E-07  -1.35     1.1145E+00 -3.0313E-07  -0.67
# 1702
20170401  b  105   7.2181E-01  6.0225E-07   1.21     7.9416E-01 -2.4011E-08  -0.64
20170401  b  130   2.2974E-01  5.9283E-07   0.79     8.3638E-01 -6.1138E-09  -0.70
20170401  r  105  -1.4736E+00 -3.8481E-07  -1.51     8.3184E-01 -1.2159E-07  -0.62
20170401  r  130  -1.0877E+00 -7.7788E-07  -1.51     9.8104E-01 -2.9825E-07  -0.62
# 1706
20170730  b  105   3.7038E-01  5.7820E-07   0.89     7.2055E-01 -4.8992E-08  -0.56
20170730  b  130  -2.1693E-01  5.7380E-07   0.39     7.3719E-01  6.6429E-08  -0.69
20170730  r  105  -1.2259E+00 -1.0587E-07  -1.11     8.3231E-01 -1.0744E-07  -0.63
20170730  r  130  -1.0109E+00 -3.2199E-07  -1.11     8.3085E-01 -1.3358E-07  -0.63
# 1810
20181110  b  105   6.1426E-01  5.8194E-07   1.10     1.1077E+00  8.1980E-09  -0.94
20181110  b  130  -1.6794E-02  5.9265E-07   0.58     1.2001E+00  3.6892E-08  -1.05
20181110  r  105  -7.6738E-01 -1.2926E-07  -0.74     1.2316E+00 -7.4843E-08  -0.99
20181110  r  130  -6.9563E-01 -2.0886E-07  -0.74     1.3007E+00 -1.5862E-07  -0.99
# 1902
20190304  b  105   5.8349E-01  5.9361E-07   1.09     1.1109E+00 -2.8260E-09  -0.93
20190304  b  130  -2.5845E-02  6.0938E-07   0.59     1.2002E+00  2.9854E-08  -1.04
20190304  r  105  -6.8744E-01 -1.6949E-07  -0.70     1.1893E+00 -6.0981E-08  -0.96
20190304  r  130  -5.6456E-01 -2.7678E-07  -0.70     1.3506E+00 -2.5750E-07  -0.96
# 1904
20190901  b  105   7.8502E-01  5.7943E-07   1.24     1.0355E+00 -2.3158E-09  -0.87
20190901  b  130   3.1526E-01  5.5185E-07   0.82     1.0827E+00  2.1905E-08  -0.93
20190901  r  105  -2.9551E-01 -1.1155E-07  -0.33     1.0599E+00 -4.0904E-08  -0.86
20190901  r  130  -1.4000E-01 -2.4023E-07  -0.33     1.1687E+00 -1.8819E-07  -0.86
# 1910
20191115  b  105   1.1166E+00  5.7896E-07   1.52     9.0591E-01 -2.2087E-09  -0.76
20191115  b  130   4.8163E-01  5.7562E-07   0.98     1.0639E+00  8.7545E-09  -0.90
20191115  r  105  -8.1381E-01 -9.3268E-08  -0.75     1.1057E+00 -1.0039E-07  -0.86
20191115  r  130  -6.6557E-01 -2.6954E-07  -0.75     1.1429E+00 -1.5544E-07  -0.86
# 2002
20200228  b  105   1.0714E+00  5.8083E-07   1.49     9.5110E-01 -1.9024E-08  -0.78
20200228  b  130   4.6320E-01  5.7150E-07   0.97     1.0926E+00  1.1982E-09  -0.92
20200228  r  105  -8.3658E-01 -5.3517E-08  -0.74     1.0856E+00 -3.5149E-08  -0.89
20200228  r  130  -6.4659E-01 -2.8655E-07  -0.74     1.1924E+00 -1.8342E-07  -0.89
# 2008
20200905  b  105   5.5525E-01  5.9397E-07   1.07     9.4078E-01 -5.1105E-09  -0.79
20200905  b  130  -1.8782E-02  5.9025E-07   0.58     1.0713E+00  1.3475E-08  -0.92
20200905  r  105  -9.8232E-01 -1.5215E-07  -0.93     1.1017E+00 -6.6339E-08  -0.88
20200905  r  130  -9.1213E-01 -2.0640E-07  -0.93     1.2067E+00 -2.1206E-07  -0.88
# 2104
20210423  b  105   1.6374E-01  5.8418E-07   0.73     9.0257E-01 -4.2457E-09  -0.76
20210423  b  130  -4.0515E-01  5.8112E-07   0.24     1.0798E+00 -1.8704E-08  -0.89
20210423  r  105  -9.6551E-01 -1.2078E-07  -0.90     1.0295E+00 -4.4071E-08  -0.84
20210423  r  130  -7.7907E-01 -3.4153E-07  -0.90     1.2232E+00 -2.7356E-07  -0.84
# 2105
20211130  b  105   9.6926E-01  5.9209E-07   1.41     7.2618E-01 -8.8129E-09  -0.60
20211130  b  130   3.6687E-01  5.8610E-07   0.90     8.6382E-01  8.3148E-09  -0.74
20211130  r  105  -8.4456E-01 -8.5084E-08  -0.77     8.6350E-01 -5.9838E-08  -0.69
20211130  r  130  -7.5114E-01 -1.6721E-07  -0.77     9.2865E-01 -1.5489E-07  -0.69
# 2112
20220130  b  105   6.8490e-01  5.5948e-07   1.14     9.7428e-01 -1.8784e-09  -0.82
20220130  b  130   9.4716e-02  5.5711e-07   0.64     1.0699e+00  1.3548e-08  -0.91
20220130  r  105  -1.1994e-01 -8.3954e-08  -0.16     1.0727e+00 -4.4792e-08  -0.87
20220130  r  130  -5.8051e-03 -2.1272e-07  -0.16     1.1283e+00 -1.6806e-07  -0.87
# 2202
99999999  b  105   4.8358e-01  5.4054e-07   0.95     7.4033e-01 -1.0303e-10  -0.62
99999999  b  130  -1.2919e-01  5.5861e-07   0.45     8.5543e-01  1.8250e-08  -0.74
99999999  r  105  -7.9567e-02 -1.5272e-07  -0.17     8.4772e-01 -1.6457e-08  -0.70
99999999  r  130  -1.6001e-02 -2.2230e-07  -0.17     9.3703e-01 -1.5884e-07  -0.68
