Date(YearMonth):,,1402,,,,,1411,,,,,1502,,,,
Parameters,,Red D105,Red D130,Blue 1st Order,Blue 2nd Order D105,Blue 2nd Order D130,Red D105,Red D130,Blue 1st Order,Blue 2nd Order D105,Blue 2nd Order D130,Red D105,Red D130,Blue 1st Order,Blue 2nd Order D105,Blue 2nd Order D130
g0,,0.117160438,0.117127492,0.082658649,0.082661526,,0.117161466,0.117160653,0.082656365,0.082659764,,0.117162665,0.117161583,0.082655051,0.082660762,
NP,,14.27237446,14.72575587,13.85458511,14.29717081,,14.12558275,14.06087953,14.19069215,14.28629646,,14.1448567,14.01106162,14.12992252,14.38207279,
a,,421.4412009,439.4338676,730.359147,786.3050185,,425.4883793,430.0470743,740.7241204,772.7084655,,421.4983567,430.1691405,765.3023567,765.0395979,
ISF,,1,1,1,1,,1,1,1,1,,1,1,1,1,
gamma,,0.016720016,0.016720001,0.0089008,0.008900816,,0.01672003,0.016720079,0.0089008,0.0089008,,0.016720076,0.016720033,0.0089008,0.0089008,
PS,,0.000586884,0.000586423,0.000553215,0.000556727,,0.000586952,0.000585244,0.000551753,0.000554953,,0.000586564,0.00058588,0.000549424,0.000554613,
QOFF,,6.141075305,6.462989743,6.818688089,6.482487631,,5.881618085,6.259947918,6.76144812,6.4886508,,5.98638866,6.089276871,6.710947361,6.496535521,
QS,,1.69895E-06,1.64145E-06,1.06059E-05,7.77484E-06,,1.53303E-06,1.90154E-06,1.07052E-05,8.07441E-06,,1.56429E-06,1.78955E-06,1.09481E-05,8.27292E-06,
ISOFF,1,953581.0195,954171.811,1075031.3,1074856.371,,954327.5656,954398.5782,1075442.365,1075322.696,,954135.5625,954206.5792,1075022.65,1074906.399,
,2,953724.9771,954290.0678,1074883.128,1074807.63,,954481.8467,954551.6236,1075318.577,1075283.482,,954302.5548,954371.4767,1074985.651,1074920.525,
,3,953893.8871,954445.4767,1074886.766,1074827.906,,954646.9453,954709.3621,1075337.204,1075305.395,,954469.3529,954527.4616,1075002.044,1074935.528,
,4,954060.2265,954585.0326,1074943.97,1074843.518,,954811.7675,954883.3976,1075359.981,1075324.136,,954631.742,954701.6188,1074987.565,1074903.856,
,5,954247.9416,954749.1426,1074673.568,1074531.553,,954991.6918,955060.1957,1075061.474,1074978.907,,954820.7885,954883.4955,1074560.898,1074426.678,
,6,952924.0319,953577.6625,1074684.963,1074577.496,,953676.2527,953762.5084,1075116.32,1075043.283,,953476.2457,953571.4007,1074747.898,1074648.218,
,7,952979.3823,953635.9971,1074572.745,1074537.412,,953731.5314,953813.5944,1075012.446,1075006.27,,953537.9297,953629.9443,1074698.059,1074646.788,
,8,953079.7455,953714.366,1074589.111,1074560.722,,953836.264,953916.4386,1075040.921,1075034.103,,953643.3374,953731.3848,1074734.773,1074669.502,
,9,953173.9718,953800.1672,1074600.146,1074559.57,,953925.3511,954013.3695,1075039.752,1075031.292,,953733.9437,953825.4443,1074700.848,1074627.179,
,10,953327.7808,953913.9429,1074403.257,1074296.418,,954131.0559,954190.6091,1074814.666,1074737.353,,953935.3276,954011.759,1074365.576,1074266.102,
,11,952534.68,953245.9459,1074561.321,1074469.651,,953278.1331,953358.8123,1075001.899,1074936.316,,953084.1534,953169.7109,1074640.34,1074543.291,
,12,952523.5785,953212.7164,1074447.428,1074418.768,,953262.2846,953356.1575,1074907.673,1074892.035,,953064.1071,953167.8385,1074588.053,1074534.501,
,13,952541.1469,953220.1524,1074416.691,1074400.712,,953286.5085,953378.4716,1074868.241,1074868.95,,953084.4837,953188.6668,1074565.046,1074507.25,
,14,952560.0571,953247.7203,1074433.554,1074412.378,,953309.432,953408.7884,1074887.943,1074881.449,,953103.1768,953215.9117,1074568.912,1074503.839,
,15,952708.524,953353.2505,1074284.042,1074204.759,,953552.3283,953598.9797,1074704.826,1074643.241,,953362.3074,953410.7295,1074306.886,1074226.451,
,16,952794.1723,953495.3332,1074582.773,1074490.733,,953500.8075,953568.3843,1075024.553,1074963.809,,953317.8348,953381.493,1074668.152,1074579.535,
,17,952681.6094,953369.7778,1074452.342,1074420.936,,953396.4657,953474.3264,1074909.563,1074897.218,,953208.8644,953281.7532,1074605.024,1074548.429,
,18,952620.1587,953307.2928,1074423.109,1074404.64,,953339.7341,953404.5307,1074885.493,1074875.728,,953147.0929,953205.5693,1074577.867,1074520.278,
,19,952546.3476,953253.6399,1074420.236,1074378.559,,953287.1634,953364.1512,1074876.356,1074842.82,,953094.1997,953169.2112,1074566.659,1074477.98,
,20,952691.1496,953347.912,1074250.612,1074169.557,,953563.7219,953592.2755,1074684.369,1074616.604,,953377.2866,953395.7523,1074313.041,1074229.098,
,21,953506.2021,954162.0876,1074883.872,1074775.481,,954196.2914,954224.7565,1075345.853,1075259.83,,954027.1936,954022.554,1074971.231,1074885.235,
,22,953339.0331,953993.8085,1074725.013,1074665.034,,954025.3455,954066.0046,1075197.096,1075155.328,,953856.6778,953871.4207,1074873.536,1074826.724,
,23,953181.6131,953851.6959,1074657.558,1074608.426,,953874.7151,953931.4157,1075129.279,1075098.235,,953700.3351,953734.8748,1074813.096,1074755.77,
,24,953033.506,953723.8528,1074638.094,1074587.027,,953763.4928,953817.5343,1075112.761,1075069.054,,953583.9112,953614.7721,1074788.2,1074719.106,
,25,953165.4828,953792.3958,1074449.851,1074337.782,,953997.3764,954006.4332,1074886.155,1074787.822,,953818.6964,953810.6481,1074486.197,1074382.037,
