Date(YearMonth):,,1402,,,,,1411,,,,,1502,,,,,1509,,,,,1602,,,,,1606,,,,,1610,,,,,1702,,,,,1706,,,,
Parameters,,Red D105,Red D130,Blue 1st Order D105,Blue 2nd Order D105,Blue 2nd Order D130,Red D105,Red D130,Blue 1st Order D105,Blue 2nd Order D105,Blue 2nd Order D130,Red D105,Red D130,Blue 1st Order D105,Blue 2nd Order D105,Blue 2nd Order D130,Red D105,Red D130,Blue 1st Order D105,Blue 2nd Order D105,Blue 2nd Order D130,Red D105,Red D130,Blue 1st Order D105,Blue 2nd Order D105,Blue 2nd Order D130,Red D105,Red D130,Blue 1st Order D105,Blue 2nd Order D105,Blue 2nd Order D130,Red D105,Red D130,Blue 1st Order D105,Blue 2nd Order D105,Blue 2nd Order D130,Red D105,Red D130,Blue 1st Order D105,Blue 2nd Order D105,Blue 2nd Order D130,Red D105,Red D130,Blue 1st Order D105,Blue 2nd Order D105,Blue 2nd Order D130
g0,,0.117160438,0.117127492,0.082658649,0.082661526,0.082661526,0.117161466,0.117160653,0.082656365,0.082659764,0.082659764,0.117162665,0.117161583,0.082655051,0.082660762,0.082660762,0.11715799,0.117148824,0.082650683,0.082657053,0.082657053,0.117159858,0.11714899,0.08265622,0.082659046,0.082659046,0.117160383,0.117147165,0.082655409,0.082658288,0.082658288,0.117140585,0.117147165,0.082661893,0.082643764,0.082643764,0.117162102,0.117152334,0.082657528,0.082658664,0.082658664,0.117158542,0.117147621,0.082655742,0.082657886,0.082657886
NP,,14.27237446,14.72575587,13.85458511,14.29717081,14.29717081,14.12558275,14.06087953,14.19069215,14.28629646,14.28629646,14.1448567,14.01106162,14.12992252,14.38207279,14.38207279,14.16390955,14.2096,14.2767,14.0765,14.0765,14.109,14.1171964,13.81755181,14.77338272,14.77338272,14.2692,14.317,13.6558,14.2627,14.2627,13.97882741,13.96301583,12.88788972,13.10838404,13.10838404,14.22635147,14.30074435,13.58625614,13.80909499,13.80909499,14.23632844,14.29199433,13.73850273,13.87463767,13.87463767
a,,421.4412009,439.4338676,730.359147,786.3050185,786.3050185,425.4883793,430.0470743,740.7241204,772.7084655,772.7084655,421.4983567,430.1691405,765.3023567,765.0395979,765.0395979,439.2421738,426.7248,759.3388,766.4614,766.4614,427.3457,421.5616254,789.4072497,778.9326389,778.9326389,427.222,424.9008,797.7527,773.6309,773.6309,420.6286072,430.9610182,899.9999919,700,700,423.7980644,426.7046611,775.9669276,779.3446969,779.3446969,425.3646731,424.7935953,796.5387121,788.6932676,788.6932676
ISF,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gamma,,0.016720016,0.016720001,0.0089008,0.008900816,0.008900816,0.01672003,0.016720079,0.0089008,0.0089008,0.0089008,0.016720076,0.016720033,0.0089008,0.0089008,0.0089008,0.016720001,0.01672,0.0089008,0.008900815,0.008900815,0.01672,0.016720002,0.0089008,0.0089008,0.0089008,0.01672,0.016720002,0.0089008,0.0089008,0.0089008,0.016807648,0.01672,0.0089008,0.0089008,0.0089008,0.01672,0.016720051,0.0089008,0.008900801,0.008900801,0.016720001,0.016720008,0.0089008,0.008900801,0.008900801
PS,,0.000586884,0.000586423,0.000553215,0.000556727,0.000556727,0.000586952,0.000585244,0.000551753,0.000554953,0.000554953,0.000586564,0.00058588,0.000549424,0.000554613,0.000554613,0.00058694,0.000586262,0.000551869,0.000554112,0.000554112,0.000587043,0.000586214,0.000553655,0.000556372,0.000556372,0.00058646,0.00058693,0.0005513,0.00055531,0.00055531,0.00058693,0.000584562,0.000558919,0.000559361,0.000559361,0.000586642,0.000585836,0.00055139,0.000556513,0.000556513,0.000587103,0.000587043,0.000552682,0.000555171,0.000555171
QOFF,,6.141075305,6.462989743,6.818688089,6.482487631,6.482487631,5.881618085,6.259947918,6.76144812,6.4886508,6.4886508,5.98638866,6.089276871,6.710947361,6.496535521,6.496535521,6.023015974,6.3151251,6.746235634,6.571415593,6.571415593,6.053818821,6.31975739,6.785815378,6.630431918,6.630431918,5.807,6.2259,6.7184,6.6185,6.6185,5.359720213,5.000000047,6.604425037,6.469573079,6.469573079,5.723234147,6.242703215,6.748001815,6.542438691,6.542438691,5.941430919,6.005722569,6.783541043,6.648047066,6.648047066
QS,,1.70E-06,1.64E-06,1.06E-05,7.77E-06,7.77E-06,1.53E-06,1.90E-06,1.07E-05,8.07E-06,8.07E-06,1.56E-06,1.79E-06,1.09E-05,8.27E-06,8.27E-06,1.60E-06,1.71E-06,1.07E-05,8.36E-06,8.36E-06,1.59E-06,1.72E-06,1.07E-05,8.26E-06,8.26E-06,1.56E-06,1.61E-06,0.000010992,8.22E-06,8.22E-06,1.37E-06,1.41E-06,1.13E-05,7.42E-06,7.42E-06,1.55E-06,1.71E-06,1.11E-05,7.98E-06,7.98E-06,1.53E-06,1.53E-06,1.12E-05,8.31E-06,8.31E-06
ISOFF,1,953581.0195,954171.811,1075031.3,1074856.371,1074856.371,954327.5656,954398.5782,1075442.365,1075322.696,1075322.696,954135.5625,954206.5792,1075022.65,1074906.399,1074906.399,953994.9883,954319.4873,1075636.603,1075522.947,1075522.947,954344.4581,954716.0487,1075656.144,1075467.617,1075467.617,954439.4478,954839.308,1075754.273,1075684.723,1075684.723,1150677.005,1151184.368,1075448.573,1075684.723,1075684.723,1150504.309,1150791.716,1075548.661,1075533.409,1075533.409,1150399.7,1150739.223,1075733.665,1075695.395,1075695.395
,2,953724.9771,954290.0678,1074883.128,1074807.63,1074807.63,954481.8467,954551.6236,1075318.577,1075283.482,1075283.482,954302.5548,954371.4767,1074985.651,1074920.525,1074920.525,954151.9422,954473.8073,1075446.481,1075448.56,1075448.56,954492.0132,954867.1335,1075423.292,1075353.147,1075353.147,954588.454,954987.7845,1075549.77,1075586.164,1075586.164,1150842.343,1151336.985,1075298.98,1075586.164,1075586.164,1150658.642,1150936.502,1075409.452,1075478.668,1075478.668,1150553.504,1150881.588,1075492.441,1075545.316,1075545.316
