# Note: Dates are *start* dates of applicability, i.e. they should be just
# before the flight series they apply to.
# Date   ch   g0           NP           a            PS           QOFF         QS           ISOFF1       ISOFF2       ISOFF3       ISOFF4       ISOFF5       ISOFF6       ISOFF7       ISOFF8       ISOFF9       ISOFF10      ISOFF11      ISOFF12      ISOFF13      ISOFF14      ISOFF15      ISOFF16      ISOFF17      ISOFF18      ISOFF19      ISOFF20      ISOFF21      ISOFF22      ISOFF23      ISOFF24      ISOFF25
# 1402
20140201 R105 0.117160438  14.27237446  421.4412009  0.000586884  6.141075305  1.7e-06      953581.0195  953724.9771  953893.8871  954060.2265  954247.9416  952924.0319  952979.3823  953079.7455  953173.9718  953327.7808  952534.68    952523.5785  952541.1469  952560.0571  952708.524   952794.1723  952681.6094  952620.1587  952546.3476  952691.1496  953506.2021  953339.0331  953181.6131  953033.506   953165.4828
20140201 R130 0.117127492  14.72575587  439.4338676  0.000586423  6.462989743  1.64e-06     954171.811   954290.0678  954445.4767  954585.0326  954749.1426  953577.6625  953635.9971  953714.366   953800.1672  953913.9429  953245.9459  953212.7164  953220.1524  953247.7203  953353.2505  953495.3332  953369.7778  953307.2928  953253.6399  953347.912   954162.0876  953993.8085  953851.6959  953723.8528  953792.3958
20140201 B1   0.082658649  13.85458511  730.359147   0.000553215  6.818688089  1.06e-05     1075031.3    1074883.128  1074886.766  1074943.97   1074673.568  1074684.963  1074572.745  1074589.111  1074600.146  1074403.257  1074561.321  1074447.428  1074416.691  1074433.554  1074284.042  1074582.773  1074452.342  1074423.109  1074420.236  1074250.612  1074883.872  1074725.013  1074657.558  1074638.094  1074449.851
20140201 B2   0.082661526  14.29717081  786.3050185  0.000556727  6.482487631  7.77e-06     1074856.371  1074807.63   1074827.906  1074843.518  1074531.553  1074577.496  1074537.412  1074560.722  1074559.57   1074296.418  1074469.651  1074418.768  1074400.712  1074412.378  1074204.759  1074490.733  1074420.936  1074404.64   1074378.559  1074169.557  1074775.481  1074665.034  1074608.426  1074587.027  1074337.782
# 1411
20141101 R105 0.117161466  14.12558275  425.4883793  0.000586952  5.881618085  1.53e-06     954327.5656  954481.8467  954646.9453  954811.7675  954991.6918  953676.2527  953731.5314  953836.264   953925.3511  954131.0559  953278.1331  953262.2846  953286.5085  953309.432   953552.3283  953500.8075  953396.4657  953339.7341  953287.1634  953563.7219  954196.2914  954025.3455  953874.7151  953763.4928  953997.3764
20141101 R130 0.117160653  14.06087953  430.0470743  0.000585244  6.259947918  1.9e-06      954398.5782  954551.6236  954709.3621  954883.3976  955060.1957  953762.5084  953813.5944  953916.4386  954013.3695  954190.6091  953358.8123  953356.1575  953378.4716  953408.7884  953598.9797  953568.3843  953474.3264  953404.5307  953364.1512  953592.2755  954224.7565  954066.0046  953931.4157  953817.5343  954006.4332
20141101 B1   0.082656365  14.19069215  740.7241204  0.000551753  6.76144812   1.07e-05     1075442.365  1075318.577  1075337.204  1075359.981  1075061.474  1075116.32   1075012.446  1075040.921  1075039.752  1074814.666  1075001.899  1074907.673  1074868.241  1074887.943  1074704.826  1075024.553  1074909.563  1074885.493  1074876.356  1074684.369  1075345.853  1075197.096  1075129.279  1075112.761  1074886.155
20141101 B2   0.082659764  14.28629646  772.7084655  0.000554953  6.4886508    8.07e-06     1075322.696  1075283.482  1075305.395  1075324.136  1074978.907  1075043.283  1075006.27   1075034.103  1075031.292  1074737.353  1074936.316  1074892.035  1074868.95   1074881.449  1074643.241  1074963.809  1074897.218  1074875.728  1074842.82   1074616.604  1075259.83   1075155.328  1075098.235  1075069.054  1074787.822
# 1502
20150201 R105 0.117162665  14.1448567   421.4983567  0.000586564  5.98638866   1.56e-06     954135.5625  954302.5548  954469.3529  954631.742   954820.7885  953476.2457  953537.9297  953643.3374  953733.9437  953935.3276  953084.1534  953064.1071  953084.4837  953103.1768  953362.3074  953317.8348  953208.8644  953147.0929  953094.1997  953377.2866  954027.1936  953856.6778  953700.3351  953583.9112  953818.6964
20150201 R130 0.117161583  14.01106162  430.1691405  0.00058588   6.089276871  1.79e-06     954206.5792  954371.4767  954527.4616  954701.6188  954883.4955  953571.4007  953629.9443  953731.3848  953825.4443  954011.759   953169.7109  953167.8385  953188.6668  953215.9117  953410.7295  953381.493   953281.7532  953205.5693  953169.2112  953395.7523  954022.554   953871.4207  953734.8748  953614.7721  953810.6481
20150201 B1   0.082655051  14.12992252  765.3023567  0.000549424  6.710947361  1.09e-05     1075022.65   1074985.651  1075002.044  1074987.565  1074560.898  1074747.898  1074698.059  1074734.773  1074700.848  1074365.576  1074640.34   1074588.053  1074565.046  1074568.912  1074306.886  1074668.152  1074605.024  1074577.867  1074566.659  1074313.041  1074971.231  1074873.536  1074813.096  1074788.2    1074486.197
20150201 B2   0.082660762  14.38207279  765.0395979  0.000554613  6.496535521  8.27e-06     1074906.399  1074920.525  1074935.528  1074903.856  1074426.678  1074648.218  1074646.788  1074669.502  1074627.179  1074266.102  1074543.291  1074534.501  1074507.25   1074503.839  1074226.451  1074579.535  1074548.429  1074520.278  1074477.98   1074229.098  1074885.235  1074826.724  1074755.77   1074719.106  1074382.037
# 1509
20150901 R105 0.11715799   14.16390955  439.2421738  0.00058694   6.023015974  1.6e-06      953994.9883  954151.9422  954313.0117  954479.3588  954662.4403  953349.08    953408.1708  953512.3364  953598.5136  953803.2479  952953.3395  952949.224   952964.5882  952989.0174  953231.0052  953177.2183  953073.2981  953013.1901  952962.5468  953245.8174  953866.6125  953699.8763  953547.6353  953435.2662  953818.6964
20150901 R130 0.117148824  14.2096      426.7248     0.000586262  6.3151251    1.71e-06     954319.4873  954473.8073  954625.3441  954797.2886  954963.6055  953684.6512  953740.8815  953836.779   953930.5532  954094.3352  953296.4713  953284.778   953303.0829  953330.6236  953515.3806  953512.4968  953392.867   953355.2845  953308.311   953518.9284  954204.4012  954037.2583  953890.2664  953777.7439  953810.6481
20150901 B1   0.082650683  14.2767      759.3388     0.000551869  6.746235634  1.07e-05     1075636.603  1075446.481  1075453.957  1075477.977  1075174.264  1075286.464  1075139.587  1075159.143  1075156.988  1074926.442  1075164.334  1075036.399  1074984.742  1075002.278  1074821.769  1075168.904  1075026.483  1074997.945  1074989.127  1074794.817  1075468.359  1075293.724  1075225.507  1075203.544  1074987.993
20150901 B2   0.082657053  14.0765      766.4614     0.000554112  6.571415593  8.36e-06     1075522.947  1075448.56   1075474.273  1075491.28   1075146.41   1075213.06   1075153.632  1075182.403  1075182.288  1074881.609  1075090.342  1075022.606  1074999.836  1075009.962  1074767.218  1075099.694  1075017.689  1074996.913  1074968.003  1074721.676  1075386.248  1075261.091  1075206.945  1075181.471  1074893.647
# 1602
20160201 R105 0.117159858  14.109       427.3457     0.000587043  6.053818821  1.59e-06     954344.4581  954492.0132  954648.1761  954803.912   954984.7743  953730.5221  953806.8608  953887.8894  953965.6717  954164.2363  953397.8262  953395.4034  953385.4285  953374.1787  953617.8814  953612.3205  953495.874   953347.9382  953333.9127  953633.2986  954222.1468  954073.6107  953837.4741  953799.0842  954060.7098
20160201 R130 0.11714899   14.1171964   421.5616254  0.000586214  6.31975739   1.72e-06     954716.0487  954867.1335  955031.6916  955210.997   955386.0405  954060.2096  954130.4728  954242.8357  954311.8095  954487.5673  953668.954   953682.9805  953670.0193  953693.866   953888.1371  953885.9986  953755.7006  953666.1638  953663.7205  953893.178   954586.5554  954411.4116  954258.3082  954150.5333  954331.0486
20160201 B1   0.08265622   13.81755181  789.4072497  0.000553655  6.785815378  1.07e-05     1075656.144  1075423.292  1075421.56   1075445.362  1075214.972  1075316.493  1075119.625  1075128.844  1075129.104  1074962.548  1075176.015  1075005.012  1074953.153  1074971.842  1074831.677  1075165.248  1074981.016  1074951.363  1074943.141  1074792.18   1075430.309  1075222.702  1075158.307  1075138.416  1074969.886
20160201 B2   0.082659046  14.77338272  778.9326389  0.000556372  6.630431918  8.26e-06     1075467.617  1075353.147  1075383.157  1075440.341  1075161.056  1075163.685  1075087.761  1075124.466  1075153.25   1074918.066  1075068.671  1074927.377  1074961.274  1075031.367  1074817.308  1075127.559  1074993.417  1074952.351  1074986.15   1074802.74   1075422.459  1075264.318  1075207.917  1075186.404  1074970.044
# 1606
20160601 R105 0.117160383  14.2692      427.222      0.00058646   5.807        1.56e-06     954439.4478  954588.454   954753.9328  954914.7967  955108.2594  953806.4887  953863.2178  953964.5716  954050.4303  954237.1333  953423.9331  953416.2908  953430.0649  953446.1078  953653.9773  953663.2434  953554.069   953496.1486  953429.9492  953659.7915  954361.9579  954195.8476  954054.1015  953907.6262  954127.055
20160601 R130 0.117147165  14.317       424.9008     0.00058693   6.2259       1.61e-06     954839.308   954987.7845  955150.0091  955316.623   955500.4969  954212.8915  954259.7453  954361.708   954450.1005  954611.6608  953833.6651  953818.2     953832.4925  953857.0963  954014.8808  954065.2241  953957.5118  953900.3995  953842.5293  954013.5219  954769.1335  954600.7832  954451.25    954323.2343  954474.2887
20160601 B1   0.082655409  13.6558      797.7527     0.0005513    6.7184       1.0992e-05   1075754.273  1075549.77   1075553.28   1075576.313  1075303.049  1075406.549  1075250.079  1075258.271  1075259.124  1075053.158  1075269.15   1075130.444  1075081.731  1075102.736  1074928.932  1075255.637  1075107.774  1075081.659  1075074.46   1074891.655  1075521.843  1075342.495  1075277.606  1075259.866  1075056.2
20160601 B2   0.082658288  14.2627      773.6309     0.00055531   6.6185       8.22e-06     1075684.723  1075586.164  1075612.575  1075634.063  1075333.342  1075373.805  1075297.51   1075323.018  1075327.85   1075069.039  1075255.678  1075170.929  1075149.987  1075163.379  1074951.752  1075264.995  1075169.399  1075148.692  1075119.583  1074901.835  1075548.196  1075407.95   1075350.977  1075328.958  1075075.195
# 1610
20161001 R105 0.117140585  13.97882741  420.6286072  0.00058693   5.359720213  1.37e-06     1150677.005  1150842.343  1151012.692  1151174.822  1151360.782  1150009.462  1150070.712  1150178.815  1150265.372  1150474.057  1149603.017  1149595.471  1149614.211  1149634.461  1149887.401  1149826.197  1149719.327  1149662.228  1149604.52   1149914.96   1150528.031  1150361.887  1150202.002  1150078.23   1150379.34
20161001 R130 0.117147165  13.96301583  430.9610182  0.000584562  5.000000047  1.41e-06     1151184.368  1151336.985  1151503.428  1151669.991  1151819.718  1150546.146  1150603.29   1150696.228  1150789.722  1150956.711  1150147.247  1150146.76   1150160.765  1150195.287  1150348.645  1150349.75   1150246.595  1150189.859  1150146.067  1150353.103  1151011.655  1150854.504  1150706.113  1150598.838  1150764.608
20161001 B1   0.082661893  12.88788972  899.9999919  0.000558919  6.604425037  1.13e-05     1075448.573  1075298.98   1075304.653  1075311.889  1075005.886  1075108.535  1075010.291  1075040.092  1075026.783  1074777.951  1074978.418  1074891.644  1074847.705  1074848.321  1074608.651  1074965.144  1074851.883  1074824.684  1074807.857  1074567.275  1075151.393  1075022.935  1074971.85   1074950.939  1074686.021
20161001 B2   0.082643764  13.10838404  700.0        0.000559361  6.469573079  7.42e-06     1075684.723  1075586.164  1075612.575  1075634.063  1075333.342  1075373.805  1075297.51   1075323.018  1075327.85   1075069.039  1075255.678  1075170.929  1075149.987  1075163.379  1074951.752  1075264.995  1075169.399  1075148.692  1075119.583  1074901.835  1075548.196  1075407.95   1075350.977  1075328.958  1075075.195
# 1702
20170201 R105 0.117162102  14.22635147  423.7980644  0.000586642  5.723234147  1.55e-06     1150504.309  1150658.642  1150821.413  1150983.904  1151177.773  1149858.668  1149915.741  1150016.142  1150108.259  1150307.215  1149466.875  1149463.725  1149477.854  1149498.916  1149733.364  1149712.047  1149598.735  1149541.713  1149484.676  1149746.22   1150418.359  1150255.832  1150093.06   1149970.494  1150210.867
20170201 R130 0.117152334  14.30074435  426.7046611  0.000585836  6.242703215  1.71e-06     1150791.716  1150936.502  1151095.072  1151268.893  1151436.465  1150165.871  1150211.474  1150311.428  1150405.987  1150575.28   1149781.759  1149771.027  1149786.833  1149815.211  1149992.79   1150011.496  1149901.594  1149849.893  1149800.102  1149999.843  1150712.161  1150547.807  1150394.999  1150275.437  1150444.372
20170201 B1   0.082657528  13.58625614  775.9669276  0.00055139   6.748001815  1.11e-05     1075548.661  1075409.452  1075425.78   1075421.71   1075081.64   1075213.602  1075093.314  1075126.01   1075101.888  1074833.469  1075072.323  1074971.704  1074936.335  1074947.538  1074710.821  1075067.222  1074950.846  1074929.449  1074977.244  1074685.714  1075350.495  1075206.478  1075141.926  1075115.251  1074847.669
20170201 B2   0.082658664  13.80909499  779.3446969  0.000556513  6.542438691  7.98e-06     1075533.409  1075478.668  1075501.733  1075518.126  1075125.338  1075230.194  1075182.94   1075215.308  1075209.12   1074881.311  1075096.619  1075044.51   1075032.301  1075037.276  1074767.654  1075105.003  1075035.825  1075016.233  1074986.628  1074717.907  1075371.256  1075260.086  1075200.484  1075177.988  1074857.089
# 1706
20170601 R105 0.117158542  14.23632844  425.3646731  0.000587103  5.941430919  1.53e-06     1150399.7    1150553.504  1150721.219  1150880.233  1151075.321  1149761.647  1149818.684  1149922.031  1150007.364  1150193.38   1149376.825  1149369.045  1149384.682  1149401.986  1149603.962  1149619.464  1149509.68   1149449.773  1149382.976  1149601.308  1150323.297  1150158.105  1150002.783  1149866.893  1150082.532
20170601 R130 0.117147621  14.29199433  424.7935953  0.000587043  6.005722569  1.53e-06     1150739.223  1150881.588  1151047.537  1151211.556  1151397.143  1150109.122  1150157.347  1150259.559  1150346.996  1150507.53   1149726.611  1149710.757  1149727.167  1149751.699  1149907.474  1149959.006  1149848.187  1149792.762  1149735.423  1149900.641  1150663.115  1150493.102  1150342.215  1150213.81   1150365.052
20170601 B1   0.082655742  13.73850273  796.5387121  0.000552682  6.783541043  1.12e-05     1075733.665  1075492.441  1075492.948  1075521.06   1075326.118  1075400.062  1075189.315  1075208.007  1075199.04   1075062.292  1075262.333  1075079.122  1075023.908  1075044.312  1074915.993  1075235.293  1075050.065  1075020.051  1075007.757  1074877.948  1075493.492  1075289.112  1075214.598  1075195.263  1075041.94
20170601 B2   0.082657886  13.87463767  788.6932676  0.000555171  6.648047066  8.31e-06     1075695.395  1075545.316  1075567.123  1075592.834  1075382.273  1075370.166  1075248.752  1075277.169  1075286.139  1075104.105  1075241.685  1075116.8    1075094.638  1075109.032  1074959.14   1075230.74   1075095.191  1075078.742  1075051.851  1074891.346  1075494.427  1075308.103  1075255.542  1075238.643  1075053.646
# 1802
