# Version 	Series	Flights		EndDate
v1.0.0		OC1B	F108-F110	07022013
v1.1.0		OC1DF	F128-F135	10252013
v2.0.0		OC2B	F153-F157	03292014
v2.0.0		OC2D	F165-F170	05082014
v2.0.0		OC2F	F176-F179	06132014
v2.0.0		OC2H	F190-F193	02062015
v2.0.0		OC3C	F211-F217	06132015
v2.0.0		OC3D	F220-F227	07072015
v2.0.0		OC3I	F238-F242	09222015
v2.0.0		OC3L	F254-F261	11202015
v2.0.0		OC4A	F272-F279	02182016
v2.0.0		OC4G	F318-F325	07202016
v2.1.0		OC4I	F329-F333	09272016
v5.0.0		OC5D	AllCancel	05042017
# From OC5J the pipeline used mixed version of wavecal.
v2.0.0		OC5J	F425-F428	08072017 # SWC
v5.1.0		OC5J	F425-F428	08072017 # LWC
#
v2.0.0		OC5K	F432-F435	09282017 # SWC
v5.1.0		OC5K	F432-F435	09282017 # LWC
#
v2.0.0		OC6I	F492-F503	09102018 # SWC
v5.1.0		OC6I	F492-F503	09102018 # LWC
#
v7.0.0		OC7D	F588-F595	07112019 # G227 & G329
v7.1.0      OC7D	F588-F595	07112019 # G063, G111
#
v7.0.0		OC7G	F622-F630	10252019 # G227 & G329
v7.1.0      OC7G	F622-F630	10252019 # G063, G111
#
V7.1.0		OC8I	F713-F714	04092021 # G111
v8.0.0		OC8I	F713-F714	04092021 # G063, G227 & G329
# OC8O and OC9A series were back to back so we are using
# v9.0.0 for both the series.
v9.0.0		OC8O	F751-F754	07022021
v9.0.0		OC9A	F755-F757	07092021
