xid	yid	xpos	ypos
0	0	21.70	6.27
0	1	20.61	28.11
0	2	19.66	49.98
0	3	18.85	71.72
0	4	18.18	93.43
0	5	17.63	115.15
0	6	17.50	136.58
0	7	17.17	158.26
0	8	16.92	179.72
0	9	16.85	201.33
0	10	16.92	222.84
0	11	17.13	244.30
1	0	41.60	6.84
1	1	40.55	28.66
1	2	39.60	50.53
1	3	38.78	72.29
1	4	38.10	94.06
1	5	37.54	115.81
1	6	37.48	137.40
1	7	37.16	159.01
1	8	36.91	180.55
1	9	36.83	202.00
1	10	36.90	223.45
1	11	37.10	244.95
2	0	61.62	7.32
2	1	60.56	29.21
2	2	59.62	51.07
2	3	NaN	NaN
2	4	58.12	94.70
2	5	57.56	116.35
2	6	57.50	138.00
2	7	57.20	159.63
2	8	57.00	181.13
2	9	56.91	202.50
2	10	57.03	223.97
2	11	57.24	245.44
3	0	81.72	7.88
3	1	NaN	NaN
3	2	NaN	NaN
3	3	NaN	NaN
3	4	78.25	95.24
3	5	77.71	116.80
3	6	77.76	138.33
3	7	77.41	159.98
3	8	77.22	181.54
3	9	77.16	203.04
3	10	77.23	224.52
3	11	77.41	245.99
4	0	101.98	8.33
4	1	100.92	30.19
4	2	100.00	52.02
4	3	99.22	73.81
4	4	98.54	95.59
4	5	98.00	117.31
4	6	97.61	138.96
4	7	97.26	160.54
4	8	97.11	182.08
4	9	97.05	203.61
4	10	97.15	225.16
4	11	97.36	246.65
5	0	122.43	8.75
5	1	121.32	30.61
5	2	120.39	52.37
5	3	119.58	74.19
5	4	118.89	95.93
5	5	NaN	NaN
5	6	NaN	NaN
5	7	117.63	161.16
5	8	117.47	182.72
5	9	117.42	204.17
5	10	117.52	225.68
5	11	117.73	247.10
6	0	143.04	9.23
6	1	141.95	31.07
6	2	140.97	52.94
6	3	140.14	74.71
6	4	139.52	96.47
6	5	NaN	NaN
6	6	NaN	NaN
6	7	138.07	161.62
6	8	137.91	183.22
6	9	137.92	204.58
6	10	138.09	225.84
6	11	138.36	247.28
7	0	163.55	9.38
7	1	162.43	31.28
7	2	161.48	53.14
7	3	160.64	75.03
7	4	159.95	96.87
7	5	159.37	118.56
7	6	158.99	140.07
7	7	158.67	161.66
7	8	158.54	183.21
7	9	158.54	204.76
7	10	158.67	226.19
7	11	158.97	247.66
8	0	184.16	9.52
8	1	183.08	31.39
8	2	182.12	53.24
8	3	181.29	75.14
8	4	180.57	96.97
8	5	180.01	118.68
8	6	179.63	140.26
8	7	179.35	161.88
8	8	179.23	183.46
8	9	179.25	205.04
8	10	179.42	226.49
8	11	179.72	248.05
9	0	204.93	9.59
9	1	203.88	31.49
9	2	202.90	53.32
9	3	202.11	75.21
9	4	201.41	97.05
9	5	200.83	118.77
9	6	200.57	140.45
9	7	200.29	162.12
9	8	200.14	183.69
9	9	200.16	205.26
9	10	200.25	226.78
9	11	200.57	248.34
10	0	225.97	9.69
10	1	224.91	31.54
10	2	223.94	53.42
10	3	223.17	75.25
10	4	222.46	97.11
10	5	221.91	118.83
10	6	221.68	140.54
10	7	221.42	162.24
10	8	221.27	183.83
10	9	221.30	205.41
10	10	221.42	226.97
10	11	221.71	248.51
11	0	247.31	9.82
11	1	246.26	31.74
11	2	245.39	53.46
11	3	244.57	75.22
11	4	243.91	97.16
11	5	243.32	118.95
11	6	242.85	140.65
11	7	242.62	162.31
11	8	242.49	183.96
11	9	242.49	205.51
11	10	242.65	227.04
11	11	242.85	248.59
