xid	yid	xpos	ypos
0	0	2.42	22.44
0	1	1.60	43.98
0	2	1.19	65.65
0	3	0.86	87.40
0	4	0.37	108.82
0	5	0.32	130.48
0	6	0.50	152.04
0	7	0.44	173.43
0	8	0.55	194.93
0	9	0.83	216.44
0	10	1.60	237.76
1	0	22.05	22.71
1	1	21.64	44.38
1	2	21.09	66.19
1	3	20.71	87.86
1	4	20.38	109.29
1	5	20.22	130.88
1	6	19.89	152.30
1	7	20.06	173.89
1	8	20.55	195.48
1	9	20.87	216.74
1	10	21.04	237.84
2	0	42.39	22.70
2	1	41.59	44.55
2	2	41.18	66.08
2	3	41.04	87.75
2	4	40.50	109.29
2	5	40.42	130.88
2	6	40.01	152.47
2	7	40.17	173.89
2	8	40.50	195.32
2	9	40.83	216.91
2	10	41.32	238.33
3	0	62.57	22.86
3	1	61.66	44.56
3	2	61.09	66.02
3	3	61.09	87.83
3	4	60.52	109.48
3	5	60.18	131.06
3	6	60.18	152.64
3	7	60.30	173.99
3	8	60.57	195.53
3	9	60.98	216.92
3	10	61.52	238.46
4	0	82.73	22.60
4	1	82.08	44.35
4	2	81.42	66.43
4	3	81.09	87.69
4	4	80.77	109.28
4	5	80.60	131.20
4	6	80.60	152.46
4	7	80.60	173.99
4	8	80.74	195.66
4	9	81.29	216.92
4	10	81.56	238.60
5	0	102.97	22.70
5	1	102.56	44.51
5	2	102.02	66.04
5	3	101.61	87.58
5	4	101.47	109.52
5	5	101.06	130.78
5	6	100.65	152.45
5	7	101.06	173.85
5	8	101.47	195.39
5	9	101.61	217.19
5	10	102.02	238.32
6	0	123.47	22.48
6	1	122.51	44.29
6	2	122.24	65.82
6	3	121.91	87.74
6	4	121.42	109.33
6	5	121.26	130.92
6	6	121.37	152.32
6	7	121.10	173.85
6	8	121.64	195.52
6	9	122.05	216.92
6	10	122.87	238.18
7	0	144.37	22.28
7	1	143.69	44.23
7	2	143.00	65.90
7	3	142.46	87.29
7	4	141.91	109.10
7	5	141.78	130.77
7	6	141.50	152.44
7	7	142.05	173.84
7	8	142.05	195.24
7	9	142.73	217.05
7	10	143.00	238.04
8	0	165.06	21.87
8	1	163.97	43.68
8	2	163.58	65.35
8	3	163.18	87.16
8	4	163.04	108.83
8	5	162.63	130.50
8	6	162.63	152.17
8	7	162.63	173.30
8	8	163.04	195.10
8	9	163.58	216.64
8	10	164.13	238.04
9	0	185.80	21.71
9	1	185.15	43.63
9	2	184.49	65.54
9	3	184.17	86.97
9	4	183.58	108.56
9	5	183.74	130.47
9	6	183.25	151.90
9	7	183.58	173.49
9	8	184.07	194.91
9	9	184.23	216.50
9	10	184.88	237.76
10	0	206.75	21.41
10	1	206.09	43.00
10	2	205.44	64.91
10	3	205.03	86.72
10	4	204.89	107.98
10	5	204.35	129.79
10	6	204.35	151.33
10	7	204.48	173.00
10	8	205.00	194.42
10	9	205.17	215.85
10	10	206.15	237.27
11	0	228.17	21.08
11	1	227.39	42.87
11	2	226.80	64.46
11	3	226.21	86.05
11	4	225.94	107.85
11	5	225.66	129.52
11	6	225.80	151.06
11	7	226.07	172.87
11	8	226.07	193.99
11	9	226.62	215.53
11	10	227.16	236.92
