xid	yid	xpos	ypos
0	0	8.19	17.05
0	1	7.54	38.83
0	2	6.85	60.61
0	3	6.47	82.46
0	4	6.07	104.16
0	5	5.82	125.81
0	6	5.70	147.54
0	7	5.67	169.07
0	8	5.79	190.52
0	9	6.03	212.11
0	10	6.44	233.51
1	0	28.01	17.44
1	1	27.34	39.26
1	2	26.75	61.03
1	3	26.34	82.79
1	4	25.97	104.43
1	5	25.71	126.22
1	6	25.52	147.81
1	7	25.53	169.54
1	8	25.67	190.99
1	9	25.96	212.57
1	10	26.39	233.93
2	0	47.96	17.68
2	1	47.35	39.51
2	2	46.70	61.43
2	3	46.25	83.16
2	4	45.92	104.83
2	5	45.63	126.45
2	6	45.43	148.15
2	7	45.43	169.71
2	8	45.65	191.35
2	9	45.96	212.83
2	10	46.34	234.36
3	0	68.16	17.91
3	1	67.43	39.76
3	2	66.78	61.62
3	3	66.40	83.49
3	4	66.02	105.11
3	5	65.73	126.76
3	6	65.58	148.50
3	7	65.53	170.03
3	8	65.78	191.49
3	9	66.04	213.13
3	10	66.44	234.56
4	0	88.31	18.16
4	1	87.51	40.00
4	2	86.96	61.82
4	3	86.47	83.57
4	4	86.23	105.37
4	5	85.92	127.00
4	6	85.72	148.61
4	7	85.72	170.32
4	8	85.98	191.80
4	9	86.30	213.42
4	10	86.59	234.79
5	0	108.57	18.31
5	1	107.85	40.16
5	2	107.30	61.98
5	3	106.89	83.75
5	4	106.50	105.42
5	5	106.30	127.20
5	6	106.08	148.82
5	7	106.11	170.52
5	8	106.37	191.97
5	9	106.56	213.60
5	10	106.98	234.97
6	0	129.10	18.39
6	1	128.30	40.21
6	2	127.60	62.04
6	3	127.29	83.82
6	4	126.93	105.57
6	5	126.59	127.36
6	6	126.49	148.96
6	7	126.35	170.47
6	8	126.67	192.06
6	9	126.99	213.50
6	10	127.48	235.11
7	0	149.58	18.35
7	1	148.80	40.13
7	2	148.18	62.07
7	3	147.73	83.83
7	4	147.62	105.61
7	5	147.12	127.42
7	6	146.91	149.02
7	7	146.94	170.55
7	8	147.19	192.17
7	9	147.44	213.65
7	10	147.99	235.20
8	0	170.25	18.26
8	1	169.39	40.11
8	2	168.64	61.95
8	3	168.25	83.83
8	4	167.90	105.53
8	5	167.62	127.41
8	6	167.57	149.04
8	7	167.44	170.56
8	8	167.71	192.19
8	9	168.07	213.68
8	10	168.42	235.25
9	0	190.86	18.14
9	1	190.06	40.01
9	2	189.49	61.87
9	3	188.89	83.68
9	4	188.56	105.60
9	5	188.33	127.33
9	6	188.16	148.96
9	7	188.24	170.51
9	8	188.51	192.15
9	9	188.75	213.63
9	10	189.32	235.22
10	0	211.76	17.96
10	1	210.97	39.81
10	2	210.35	61.75
10	3	209.83	83.45
10	4	209.36	105.38
10	5	209.28	127.16
10	6	209.17	148.82
10	7	209.27	170.58
10	8	209.53	192.07
10	9	209.76	213.46
10	10	210.26	235.07
11	0	232.87	17.78
11	1	232.18	39.64
11	2	231.53	61.48
11	3	231.03	83.35
11	4	230.58	105.13
11	5	230.46	126.94
11	6	230.35	148.60
11	7	230.42	170.34
11	8	230.55	191.86
11	9	230.94	213.44
11	10	231.53	234.89
