# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2017-10-25_HA_F445-90_0086_11-127
# Object: W3
# Date: 2017-10-25T10:03:12.990 (MJD: 58051.41970108796)
# Project: 90_0086_11
# Exposure: 93.76044 s.
# Equatorial: 02h25m40.200s 62d06m05.22s (J2000.0)
# Horizontal: -15d26m44.36s 54d24m01.28s
# CRUSH version: 2.41-1 (update.2)
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
# Flag 'L' - 0x0x200000 - LOS response
# Flag '\' - 0x0x400000 - Roll response
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[0,0]	-0.001 	1.467E-3 	gn	29.172	1.000	1.000	0	0	0	0
R0[0,1]	-0.001 	1.482E-3 	gn	19.867	1.000	1.000	1	0	0	1
R0[0,2]	0.063 	1.121E-3 	g	0.764	1.000	1.000	2	0	0	2
R0[0,3]	0.933 	1.864E-4 	-	0.829	1.000	1.000	3	0	0	3
R0[0,4]	-0.001 	9.014E-4 	gn	29.172	1.000	1.000	4	0	0	4
R0[0,5]	-0.003 	8.711E-4 	gn	10.999	1.000	1.000	5	0	0	5
R0[0,7]	0.550 	4.186E-4 	-	0.988	1.000	1.000	7	0	0	7
R0[0,8]	0.606 	2.676E-4 	-	1.048	1.000	1.000	8	0	0	8
R0[0,9]	0.788 	2.625E-4 	-	0.821	1.000	1.000	9	0	0	9
R0[0,10]	0.890 	2.370E-4 	-	0.761	1.000	1.000	10	0	0	10
R0[0,11]	0.782 	2.450E-4 	-	0.847	1.000	1.000	11	0	0	11
R0[0,12]	0.696 	2.755E-4 	-	0.887	1.000	1.000	12	0	0	12
R0[0,13]	0.691 	2.779E-4 	-	0.969	1.000	1.000	13	0	0	13
R0[0,14]	-0.003 	6.243E-4 	gn	16.095	1.000	1.000	14	0	0	14
R0[0,15]	-0.004 	6.448E-4 	gn	11.694	1.000	1.000	15	0	0	15
R0[0,16]	-0.002 	6.561E-4 	gn	19.113	1.000	1.000	16	0	0	16
R0[0,17]	-0.002 	6.695E-4 	gn	11.065	1.000	1.000	17	0	0	17
R0[0,18]	-0.002 	6.741E-4 	gn	7.544	1.000	1.000	18	0	0	18
R0[0,19]	0.783 	2.297E-4 	-	0.869	1.000	1.000	19	0	0	19
R0[0,21]	-0.002 	6.193E-4 	gn	9.808	1.000	1.000	21	0	0	21
R0[0,22]	-0.002 	5.542E-4 	gn	10.374	1.000	1.000	22	0	0	22
R0[0,23]	-0.002 	6.112E-4 	gn	8.676	1.000	1.000	23	0	0	23
R0[0,24]	-0.002 	6.347E-4 	gn	5.533	1.000	1.000	24	0	0	24
R0[0,25]	0.895 	1.622E-4 	-	0.912	1.000	1.000	25	0	0	25
