# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2016-12-03_HA_F354-88_0005_79-040
# Object: omc1_c
# Date: 2016-12-03T07:18:36.810 (MJD: 57725.305393449074)
# Project: 88_0005_79
# Exposure: 209.17871999999997 s.
# Equatorial: 05h35m13.921s -05d22m22.81s (J2000.0)
# Horizontal: 127d52m33.28s 33d33m07.52s
# CRUSH version: 2.34-3 (devel.1)
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[0,0]	-0.000 	9.516E-3 	gn	0.058	1.000	1.000	0	0	0	0
R0[0,1]	0.627 	4.958E-4 	-	1.124	1.000	1.000	1	0	0	1
R0[0,2]	0.120 	5.136E-3 	g	1.193	1.000	1.000	2	0	0	2
R0[0,3]	1.012 	3.276E-4 	-	0.793	1.000	1.000	3	0	0	3
R0[0,4]	-0.000 	7.937E-3 	gn	26.884	1.000	1.000	4	0	0	4
R0[0,5]	-0.000 	8.910E-3 	gn	91.398	1.000	1.000	5	0	0	5
R0[0,7]	0.618 	5.368E-4 	-	1.138	1.000	1.000	7	0	0	7
R0[0,8]	0.635 	5.421E-4 	-	1.113	1.000	1.000	8	0	0	8
R0[0,9]	0.816 	4.296E-4 	-	0.947	1.000	1.000	9	0	0	9
R0[0,10]	0.000 	9.438E-3 	gn	-35.554	1.000	1.000	10	0	0	10
R0[0,11]	0.758 	5.035E-4 	-	0.992	1.000	1.000	11	0	0	11
R0[0,12]	0.707 	5.147E-4 	-	1.030	1.000	1.000	12	0	0	12
R0[0,13]	0.708 	4.988E-4 	-	1.032	1.000	1.000	13	0	0	13
R0[0,14]	-0.000 	8.200E-3 	gn	1859.258	1.000	1.000	14	0	0	14
R0[0,15]	0.875 	3.279E-4 	-	0.926	1.000	1.000	15	0	0	15
R0[0,16]	0.877 	4.035E-4 	-	0.920	1.000	1.000	16	0	0	16
R0[0,17]	0.910 	2.171E-4 	-	0.905	1.000	1.000	17	0	0	17
R0[0,18]	0.999 	4.270E-4 	-	0.821	1.000	1.000	18	0	0	18
R0[0,19]	0.781 	4.448E-4 	-	0.944	1.000	1.000	19	0	0	19
R0[0,21]	1.155 	3.358E-4 	-	0.759	1.000	1.000	21	0	0	21
R0[0,22]	-0.000 	6.364E-3 	gn	906.136	1.000	1.000	22	0	0	22
R0[0,23]	0.790 	4.210E-4 	-	0.911	1.000	1.000	23	0	0	23
R0[0,24]	0.633 	3.889E-4 	Bs	0.023	1.000	1.000	24	0	0	24
R0[0,25]	0.913 	4.314E-4 	-	0.831	1.000	1.000	25	0	0	25
R0[0,26]	0.000 	5.204E-3 	gn	-77.396	1.000	1.000	26	0	0	26
R0[1,0]	0.725 	4.781E-4 	-	1.058	1.000	1.000	32	0	1	0
R0[1,1]	0.590 	5.852E-4 	-	1.134	1.000	1.000	33	0	1	1
R0[1,2]	0.578 	5.930E-4 	-	1.134	1.000	1.000	34	0	1	2
R0[1,3]	0.616 	5.435E-4 	-	1.124	1.000	1.000	35	0	1	3
R0[1,4]	0.735 	4.928E-4 	-	0.971	1.000	1.000	36	0	1	4
R0[1,5]	0.767 	4.831E-4 	-	0.983	1.000	1.000	37	0	1	5
R0[1,7]	0.739 	4.362E-4 	-	1.052	1.000	1.000	39	0	1	7
R0[1,8]	0.738 	4.901E-4 	-	1.033	1.000	1.000	40	0	1	8
