# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2017-10-26_HA_F446-90_0086_14-051
# Object: W3
# Date: 2017-10-26T06:06:35.650 (MJD: 58052.25538002315)
# Project: 90_0086_14
# Exposure: 81.11112 s.
# Equatorial: 02h25m40.200s 62d06m05.22s (J2000.0)
# Horizontal: 41d08m26.20s 52d41m01.90s
# CRUSH version: 2.41-1 (update.2)
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
# Flag 'L' - 0x0x200000 - LOS response
# Flag '\' - 0x0x400000 - Roll response
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[0,0]	0.000 	3.053E24 	gn	0.000	1.000	1.000	0	0	0	0
R0[0,1]	-0.000 	3.673E24 	gn	-0.091	1.000	1.000	1	0	0	1
R0[0,2]	0.080 	7.994E-4 	gn	-0.197	1.000	1.000	2	0	0	2
R0[0,3]	0.000 	3.349E24 	gn	7856.040	1.000	1.000	3	0	0	3
R0[0,4]	0.002 	7.239E-5 	gn	48.010	1.000	1.000	4	0	0	4
R0[0,5]	0.002 	7.958E-5 	gn	5.279	1.000	1.000	5	0	0	5
R0[0,7]	0.449 	1.338E-4 	-	0.468	1.000	1.000	7	0	0	7
R0[0,8]	0.502 	2.018E-4 	-	0.591	1.000	1.000	8	0	0	8
R0[0,9]	0.631 	1.279E-4 	-	0.675	1.000	1.000	9	0	0	9
R0[0,10]	-0.000 	1.902E-4 	gn	59.568	1.000	1.000	10	0	0	10
R0[0,11]	0.649 	4.585E-4 	-	0.700	1.000	1.000	11	0	0	11
R0[0,12]	0.627 	5.493E-4 	-	0.715	1.000	1.000	12	0	0	12
R0[0,13]	0.642 	5.820E-4 	-	0.757	1.000	1.000	13	0	0	13
R0[0,14]	0.000 	2.909E-4 	gn	-134.977	1.000	1.000	14	0	0	14
R0[0,15]	0.000 	2.811E-4 	gn	-85.870	1.000	1.000	15	0	0	15
