# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2017-10-26_HA_F446-90_0086_12-068
# Object: W3
# Date: 2017-10-26T06:53:59.610 (MJD: 58052.28829622685)
# Project: 90_0086_12
# Exposure: 79.73352 s.
# Equatorial: 02h25m40.200s 62d06m05.22s (J2000.0)
# Horizontal: 34d42m36.48s 58d06m46.22s
# CRUSH version: 2.41-1 (update.2)
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
# Flag 'L' - 0x0x200000 - LOS response
# Flag '\' - 0x0x400000 - Roll response
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[0,0]	0.003 	2.551E-4 	gn	-1.870	1.000	1.000	0	0	0	0
R0[0,1]	0.003 	2.313E-4 	gn	-2.330	1.000	1.000	1	0	0	1
R0[0,2]	0.102 	2.599E-4 	gn	0.659	1.000	1.000	2	0	0	2
R0[0,3]	0.003 	2.540E-4 	gn	-5.642	1.000	1.000	3	0	0	3
R0[0,4]	0.003 	7.856E-5 	gn	-9.137	1.000	1.000	4	0	0	4
R0[0,5]	0.002 	8.720E-5 	gn	-6.529	1.000	1.000	5	0	0	5
R0[0,7]	0.602 	1.484E-4 	-	1.043	1.000	1.000	7	0	0	7
R0[0,8]	0.620 	1.002E-4 	-	1.046	1.000	1.000	8	0	0	8
R0[0,9]	0.697 	1.507E-4 	-	1.209	1.000	1.000	9	0	0	9
R0[0,10]	0.009 	5.437E-5 	gn	-3.925	1.000	1.000	10	0	0	10
R0[0,11]	0.677 	1.324E-4 	-	1.100	1.000	1.000	11	0	0	11
R0[0,12]	0.681 	9.274E-5 	-	1.005	1.000	1.000	12	0	0	12
R0[0,13]	0.650 	8.605E-5 	-	1.019	1.000	1.000	13	0	0	13
R0[0,14]	0.011 	3.613E-5 	gn	-3.925	1.000	1.000	14	0	0	14
R0[0,15]	0.011 	3.767E-5 	gn	-2.453	1.000	1.000	15	0	0	15
R0[0,16]	0.013 	3.904E-5 	gn	7.849	1.000	1.000	16	0	0	16
R0[0,17]	0.013 	3.910E-5 	gn	-0.491	1.000	1.000	17	0	0	17
R0[0,18]	0.767 	1.005E-4 	-	1.079	1.000	1.000	18	0	0	18
R0[0,19]	0.708 	3.794E-8 	n	2.858	1.000	1.000	19	0	0	19
R0[0,21]	0.017 	3.644E-5 	gn	0.000	1.000	1.000	21	0	0	21
R0[0,22]	0.017 	3.244E-5 	gn	0.000	1.000	1.000	22	0	0	22
R0[0,23]	0.705 	1.406E-4 	-	0.970	1.000	1.000	23	0	0	23
R0[0,24]	0.016 	3.746E-5 	gn	-1.962	1.000	1.000	24	0	0	24
R0[0,25]	0.751 	1.636E-4 	-	0.914	1.000	1.000	25	0	0	25
R0[0,26]	0.015 	4.180E-5 	gn	-0.981	1.000	1.000	26	0	0	26
R0[0,28]	0.010 	1.283E-4 	gn	-0.491	1.000	1.000	28	0	0	28
R0[0,29]	0.012 	1.124E-4 	gn	-1.492	1.000	1.000	29	0	0	29
R0[0,30]	0.009 	1.208E-4 	gn	-2.330	1.000	1.000	30	0	0	30
R0[0,31]	0.009 	1.289E-4 	gn	-2.208	1.000	1.000	31	0	0	31
R0[1,0]	0.682 	2.419E-4 	-	1.021	1.000	1.000	32	0	1	0
R0[1,1]	0.598 	1.976E-4 	-	1.114	1.000	1.000	33	0	1	1
R0[1,2]	0.599 	2.043E-4 	-	0.985	1.000	1.000	34	0	1	2
R0[1,3]	0.614 	1.916E-4 	-	0.997	1.000	1.000	35	0	1	3
R0[1,4]	0.677 	1.996E-4 	-	1.052	1.000	1.000	36	0	1	4
R0[1,5]	0.695 	2.181E-4 	-	1.064	1.000	1.000	37	0	1	5
R0[1,7]	0.660 	1.744E-4 	-	1.048	1.000	1.000	39	0	1	7
R0[1,8]	0.671 	1.613E-4 	-	1.130	1.000	1.000	40	0	1	8
R0[1,9]	0.744 	1.655E-4 	-	1.069	1.000	1.000	41	0	1	9
R0[1,10]	0.776 	1.208E-4 	-	1.158	1.000	1.000	42	0	1	10
R0[1,11]	0.726 	1.635E-4 	-	1.123	1.000	1.000	43	0	1	11
R0[1,12]	0.742 	9.964E-5 	-	0.961	1.000	1.000	44	0	1	12
R0[1,13]	0.722 	1.509E-4 	-	1.104	1.000	1.000	45	0	1	13
R0[1,14]	0.760 	1.632E-4 	-	1.103	1.000	1.000	46	0	1	14
R0[1,15]	0.804 	1.531E-4 	-	1.111	1.000	1.000	47	0	1	15
R0[1,16]	0.818 	1.246E-4 	-	1.069	1.000	1.000	48	0	1	16
R0[1,17]	0.783 	1.328E-4 	-	1.040	1.000	1.000	49	0	1	17
R0[1,18]	0.771 	1.561E-4 	-	1.040	1.000	1.000	50	0	1	18
R0[1,19]	0.750 	1.443E-4 	-	1.055	1.000	1.000	51	0	1	19
R0[1,21]	0.853 	1.111E-4 	-	0.980	1.000	1.000	53	0	1	21
R0[1,22]	0.831 	1.137E-4 	-	0.999	1.000	1.000	54	0	1	22
R0[1,23]	0.762 	1.443E-4 	-	0.984	1.000	1.000	55	0	1	23
R0[1,24]	0.015 	3.828E-5 	gn	-3.925	1.000	1.000	56	0	1	24
R0[1,25]	0.813 	1.228E-4 	-	0.905	1.000	1.000	57	0	1	25
R0[1,26]	0.853 	1.126E-4 	-	0.901	1.000	1.000	58	0	1	26
R0[1,28]	0.769 	8.955E-5 	-	0.903	1.000	1.000	60	0	1	28
R0[1,29]	0.753 	8.818E-5 	-	0.955	1.000	1.000	61	0	1	29
R0[1,30]	0.717 	1.610E-4 	-	0.953	1.000	1.000	62	0	1	30
R0[1,31]	0.729 	1.616E-4 	-	0.949	1.000	1.000	63	0	1	31
R0[2,0]	0.219 	2.607E-4 	g	0.877	1.000	1.000	64	0	2	0
R0[2,1]	0.548 	2.170E-4 	-	0.985	1.000	1.000	65	0	2	1
R0[2,2]	0.505 	1.838E-8 	n	-0.488	1.000	1.000	66	0	2	2
R0[2,3]	0.664 	2.504E-4 	-	1.019	1.000	1.000	67	0	2	3
R0[2,4]	0.653 	2.018E-4 	-	1.058	1.000	1.000	68	0	2	4
R0[2,5]	0.679 	2.337E-4 	-	1.051	1.000	1.000	69	0	2	5
R0[2,7]	0.702 	2.096E-4 	-	1.077	1.000	1.000	71	0	2	7
R0[2,8]	0.711 	2.090E-4 	-	1.081	1.000	1.000	72	0	2	8
R0[2,9]	0.749 	1.852E-4 	-	1.099	1.000	1.000	73	0	2	9
R0[2,10]	0.010 	5.581E-5 	gn	-3.288	1.000	1.000	74	0	2	10
R0[2,11]	0.743 	1.993E-4 	-	1.121	1.000	1.000	75	0	2	11
R0[2,12]	0.875 	1.010E-4 	-	1.022	1.000	1.000	76	0	2	12
R0[2,13]	0.765 	1.499E-4 	-	1.084	1.000	1.000	77	0	2	13
R0[2,14]	0.759 	1.786E-4 	-	1.086	1.000	1.000	78	0	2	14
R0[2,15]	0.759 	1.911E-4 	-	1.096	1.000	1.000	79	0	2	15
R0[2,16]	0.822 	1.143E-4 	-	1.094	1.000	1.000	80	0	2	16
R0[2,17]	0.778 	1.520E-4 	-	1.057	1.000	1.000	81	0	2	17
R0[2,18]	0.769 	1.248E-4 	-	1.072	1.000	1.000	82	0	2	18
R0[2,19]	0.799 	1.343E-4 	-	1.012	1.000	1.000	83	0	2	19
R0[2,21]	0.814 	1.432E-4 	-	0.966	1.000	1.000	85	0	2	21
