# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2016-12-03_HA_F354-88_0005_80-047
# Object: omc1_c
# Date: 2016-12-03T07:43:50.590 (MJD: 57725.32291405092)
# Project: 88_0005_80
# Exposure: 84.48624 s.
# Equatorial: 05h35m13.921s -05d22m22.81s (J2000.0)
# Horizontal: 130d08m04.31s 37d14m20.20s
# CRUSH version: 2.34-3 (devel.1)
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[0,0]	-0.000 	5.891E-3 	gn	-0.432	1.000	1.000	0	0	0	0
R0[0,1]	0.608 	5.743E-4 	-	1.044	1.000	1.000	1	0	0	1
R0[0,2]	0.057 	4.044E-3 	gn	1.368	1.000	1.000	2	0	0	2
R0[0,3]	0.980 	3.377E-4 	-	0.749	1.000	1.000	3	0	0	3
R0[0,4]	0.000 	5.517E-3 	gn	-12.093	1.000	1.000	4	0	0	4
R0[0,5]	-0.000 	6.037E-3 	gn	53.234	1.000	1.000	5	0	0	5
R0[0,7]	0.592 	5.872E-4 	-	1.017	1.000	1.000	7	0	0	7
R0[0,8]	0.635 	5.798E-4 	-	0.983	1.000	1.000	8	0	0	8
R0[0,9]	0.798 	4.256E-4 	-	0.847	1.000	1.000	9	0	0	9
R0[0,10]	0.000 	6.320E-3 	gn	-21.640	1.000	1.000	10	0	0	10
R0[0,11]	0.730 	4.437E-4 	-	0.894	1.000	1.000	11	0	0	11
R0[0,12]	0.676 	5.098E-4 	-	0.933	1.000	1.000	12	0	0	12
R0[0,13]	0.689 	5.260E-4 	-	0.897	1.000	1.000	13	0	0	13
R0[0,14]	0.000 	6.255E-3 	gn	-10.939	1.000	1.000	14	0	0	14
R0[0,15]	0.871 	3.874E-4 	-	0.781	1.000	1.000	15	0	0	15
R0[0,16]	0.769 	2.742E-7 	n	1.035	1.000	1.000	16	0	0	16
R0[0,17]	0.881 	2.656E-4 	-	0.810	1.000	1.000	17	0	0	17
R0[0,18]	0.984 	4.164E-4 	-	0.683	1.000	1.000	18	0	0	18
R0[0,19]	0.743 	3.549E-4 	-	0.880	1.000	1.000	19	0	0	19
R0[0,21]	1.129 	3.687E-4 	-	0.644	1.000	1.000	21	0	0	21
R0[0,22]	0.000 	4.387E-3 	gn	-19.142	1.000	1.000	22	0	0	22
R0[0,23]	0.815 	4.427E-4 	-	0.810	1.000	1.000	23	0	0	23
R0[0,24]	1.079 	1.244E-7 	n	-139.573	1.000	1.000	24	0	0	24
R0[0,25]	0.888 	4.196E-4 	-	0.733	1.000	1.000	25	0	0	25
R0[0,26]	-0.000 	3.731E-3 	gn	121.705	1.000	1.000	26	0	0	26
R0[1,0]	0.674 	5.786E-4 	-	1.000	1.000	1.000	32	0	1	0
R0[1,1]	0.365 	1.471E-3 	-	1.127	1.000	1.000	33	0	1	1
R0[1,2]	0.367 	1.340E-3 	-	1.134	1.000	1.000	34	0	1	2
R0[1,3]	0.590 	6.633E-4 	-	1.002	1.000	1.000	35	0	1	3
R0[1,4]	0.705 	5.082E-4 	-	0.919	1.000	1.000	36	0	1	4
R0[1,5]	0.743 	5.259E-4 	-	0.882	1.000	1.000	37	0	1	5
R0[1,7]	0.713 	4.453E-4 	-	0.915	1.000	1.000	39	0	1	7
R0[1,8]	0.721 	5.518E-4 	-	0.895	1.000	1.000	40	0	1	8
R0[1,9]	0.827 	4.324E-4 	-	0.826	1.000	1.000	41	0	1	9
R0[1,10]	0.930 	3.632E-4 	-	0.767	1.000	1.000	42	0	1	10
R0[1,11]	0.783 	4.588E-4 	-	0.862	1.000	1.000	43	0	1	11
R0[1,12]	0.800 	4.636E-4 	-	0.820	1.000	1.000	44	0	1	12
R0[1,13]	0.813 	4.738E-4 	-	0.825	1.000	1.000	45	0	1	13
R0[1,14]	0.890 	3.998E-4 	-	0.756	1.000	1.000	46	0	1	14
R0[1,15]	0.945 	3.372E-4 	-	0.730	1.000	1.000	47	0	1	15
R0[1,16]	1.142 	1.625E-6 	n	0.224	1.000	1.000	48	0	1	16
R0[1,17]	0.903 	4.197E-4 	-	0.775	1.000	1.000	49	0	1	17
R0[1,18]	0.869 	4.198E-4 	-	0.764	1.000	1.000	50	0	1	18
R0[1,19]	0.863 	3.838E-4 	-	0.761	1.000	1.000	51	0	1	19
R0[1,21]	1.055 	3.461E-4 	-	0.669	1.000	1.000	53	0	1	21
R0[1,22]	0.993 	3.345E-4 	-	0.689	1.000	1.000	54	0	1	22
R0[1,23]	0.900 	3.856E-4 	-	0.732	1.000	1.000	55	0	1	23
R0[1,24]	0.000 	4.111E-3 	gn	-25.695	1.000	1.000	56	0	1	24
R0[1,25]	1.001 	3.547E-4 	-	0.703	1.000	1.000	57	0	1	25
R0[1,26]	1.064 	3.312E-4 	-	0.663	1.000	1.000	58	0	1	26
R0[2,0]	-0.000 	6.367E-3 	gn	2.882	1.000	1.000	64	0	2	0
R0[2,1]	-0.000 	6.396E-3 	gn	3.970	1.000	1.000	65	0	2	1
R0[2,2]	-0.000 	6.571E-3 	gn	4.076	1.000	1.000	66	0	2	2
R0[2,3]	-0.000 	6.591E-3 	gn	7.016	1.000	1.000	67	0	2	3
R0[2,4]	0.000 	5.872E-3 	gn	-9.652	1.000	1.000	68	0	2	4
R0[2,5]	0.000 	5.881E-3 	gn	-5.642	1.000	1.000	69	0	2	5
R0[2,7]	0.000 	5.676E-3 	gn	-10.006	1.000	1.000	71	0	2	7
R0[2,8]	0.000 	6.637E-3 	gn	-14.781	1.000	1.000	72	0	2	8
R0[2,9]	0.000 	6.653E-3 	gn	-16.191	1.000	1.000	73	0	2	9
R0[2,10]	0.000 	6.745E-3 	gn	-15.932	1.000	1.000	74	0	2	10
R0[2,11]	0.000 	6.555E-3 	gn	-12.919	1.000	1.000	75	0	2	11
R0[2,12]	0.000 	6.492E-3 	gn	-11.909	1.000	1.000	76	0	2	12
R0[2,13]	0.000 	6.459E-3 	gn	-13.920	1.000	1.000	77	0	2	13
R0[2,14]	0.000 	6.641E-3 	gn	-11.641	1.000	1.000	78	0	2	14
R0[2,15]	0.000 	6.053E-3 	gn	-9.396	1.000	1.000	79	0	2	15
R0[2,16]	0.000 	6.160E-3 	gn	-12.489	1.000	1.000	80	0	2	16
R0[2,17]	0.000 	6.329E-3 	gn	-13.238	1.000	1.000	81	0	2	17
R0[2,18]	0.000 	6.478E-3 	gn	-24.618	1.000	1.000	82	0	2	18
R0[2,19]	0.000 	6.271E-3 	gn	-26.878	1.000	1.000	83	0	2	19
R0[2,21]	0.000 	5.102E-3 	gn	-71.012	1.000	1.000	85	0	2	21
R0[2,22]	0.000 	5.085E-3 	gn	-48.801	1.000	1.000	86	0	2	22
R0[2,23]	0.000 	4.974E-3 	gn	-35.193	1.000	1.000	87	0	2	23
R0[2,24]	0.000 	4.286E-3 	gn	-21.747	1.000	1.000	88	0	2	24
R0[2,25]	0.000 	4.320E-3 	gn	-36.541	1.000	1.000	89	0	2	25
R0[2,26]	-0.000 	4.312E-3 	gn	79.478	1.000	1.000	90	0	2	26
R0[3,0]	0.293 	1.694E-3 	g	1.132	1.000	1.000	96	0	3	0
R0[3,1]	0.595 	6.414E-4 	-	1.030	1.000	1.000	97	0	3	1
R0[3,2]	0.624 	6.455E-4 	-	0.972	1.000	1.000	98	0	3	2
