# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2017-10-25_HA_F445-90_0086_13-120
# Object: W3
# Date: 2017-10-25T09:39:05.620 (MJD: 58051.40294912037)
# Project: 90_0086_13
# Exposure: 82.91676 s.
# Equatorial: 02h25m40.200s 62d06m05.22s (J2000.0)
# Horizontal: -08d05m04.29s 55d47m09.26s
# CRUSH version: 2.41-1 (update.2)
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
# Flag 'L' - 0x0x200000 - LOS response
# Flag '\' - 0x0x400000 - Roll response
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[0,0]	0.002 	7.513E-4 	gn	-4.226	1.000	1.000	0	0	0	0
R0[0,1]	0.002 	9.396E-4 	gn	-8.103	1.000	1.000	1	0	0	1
R0[0,2]	0.490 	7.668E-4 	-	0.412	1.000	1.000	2	0	0	2
R0[0,3]	1.086 	2.008E-4 	-	0.350	1.000	1.000	3	0	0	3
R0[0,4]	0.001 	7.953E-4 	gn	-2.484	1.000	1.000	4	0	0	4
R0[0,5]	0.001 	7.203E-4 	gn	1.145	1.000	1.000	5	0	0	5
R0[0,7]	0.672 	4.391E-4 	-	0.670	1.000	1.000	7	0	0	7
R0[0,8]	0.720 	5.106E-4 	-	0.682	1.000	1.000	8	0	0	8
R0[0,9]	0.865 	3.196E-4 	-	0.648	1.000	1.000	9	0	0	9
R0[0,10]	0.972 	3.315E-4 	-	0.634	1.000	1.000	10	0	0	10
R0[0,11]	0.783 	3.991E-4 	-	0.801	1.000	1.000	11	0	0	11
R0[0,12]	1.641 	1.537E-8 	n	6.525	1.000	1.000	12	0	0	12
R0[0,13]	0.767 	3.360E-4 	-	0.863	1.000	1.000	13	0	0	13
R0[0,14]	0.003 	8.048E-4 	gn	-5.697	1.000	1.000	14	0	0	14
R0[0,15]	0.004 	7.949E-4 	gn	-4.261	1.000	1.000	15	0	0	15
