# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2016-12-03_HA_F354-88_0005_81-054
# Object: omc1_c
# Date: 2016-12-03T08:02:22.570 (MJD: 57725.33578418981)
# Project: 88_0005_81
# Exposure: 38.376 s.
# Equatorial: 05h35m13.921s -05d22m22.81s (J2000.0)
# Horizontal: 131d47m40.32s 39d58m09.99s
# CRUSH version: 2.34-3 (devel.1)
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[0,0]	-0.001 	1.518E-2 	gn	7.660	1.000	1.000	0	0	0	0
R0[0,1]	0.752 	1.781E-3 	-	0.217	1.000	1.000	1	0	0	1
R0[0,2]	0.492 	3.926E-3 	-	0.363	1.000	1.000	2	0	0	2
R0[0,3]	-0.001 	1.631E-2 	gn	-4.618	1.000	1.000	3	0	0	3
R0[0,4]	-0.001 	1.158E-2 	gn	-13.252	1.000	1.000	4	0	0	4
R0[0,5]	-0.001 	1.252E-2 	gn	-5.589	1.000	1.000	5	0	0	5
R0[0,7]	0.670 	1.759E-3 	-	0.702	1.000	1.000	7	0	0	7
R0[0,8]	0.701 	1.998E-3 	-	0.741	1.000	1.000	8	0	0	8
R0[0,9]	0.882 	1.463E-3 	-	0.669	1.000	1.000	9	0	0	9
R0[0,10]	-0.001 	5.581E-3 	gn	1.690	1.000	1.000	10	0	0	10
R0[0,11]	0.793 	1.098E-3 	-	0.828	1.000	1.000	11	0	0	11
R0[0,12]	0.742 	1.538E-3 	-	0.900	1.000	1.000	12	0	0	12
R0[0,13]	0.723 	1.428E-3 	-	0.924	1.000	1.000	13	0	0	13
R0[0,14]	-0.000 	4.154E-3 	gn	14.646	1.000	1.000	14	0	0	14
R0[0,15]	0.908 	1.045E-3 	-	0.879	1.000	1.000	15	0	0	15
R0[0,16]	0.890 	1.049E-3 	-	0.826	1.000	1.000	16	0	0	16
R0[0,17]	0.910 	3.969E-4 	-	0.879	1.000	1.000	17	0	0	17
R0[0,18]	1.022 	1.151E-3 	-	0.665	1.000	1.000	18	0	0	18
R0[0,19]	0.789 	1.064E-3 	-	0.836	1.000	1.000	19	0	0	19
R0[0,21]	1.187 	7.969E-4 	-	0.660	1.000	1.000	21	0	0	21
R0[0,22]	-0.000 	5.510E-3 	gn	22.218	1.000	1.000	22	0	0	22
R0[0,23]	0.818 	1.030E-3 	-	0.843	1.000	1.000	23	0	0	23
R0[0,24]	0.198 	6.098E-6 	Bgn	-0.020	1.000	1.000	24	0	0	24
R0[0,25]	0.921 	1.201E-3 	-	0.757	1.000	1.000	25	0	0	25
R0[0,26]	0.000 	6.191E-3 	gn	-50.441	1.000	1.000	26	0	0	26
R0[1,0]	0.824 	1.884E-3 	-	0.238	1.000	1.000	32	0	1	0
R0[1,1]	0.686 	2.248E-3 	-	0.382	1.000	1.000	33	0	1	1
R0[1,2]	0.675 	2.018E-3 	-	0.486	1.000	1.000	34	0	1	2
R0[1,3]	0.706 	2.318E-3 	-	0.599	1.000	1.000	35	0	1	3
R0[1,4]	0.817 	1.474E-3 	-	0.542	1.000	1.000	36	0	1	4
R0[1,5]	0.893 	1.152E-3 	-	0.603	1.000	1.000	37	0	1	5
R0[1,7]	0.793 	9.662E-4 	-	0.726	1.000	1.000	39	0	1	7
R0[1,8]	0.804 	1.665E-3 	-	0.768	1.000	1.000	40	0	1	8
R0[1,9]	0.939 	1.453E-3 	-	0.755	1.000	1.000	41	0	1	9
R0[1,10]	1.012 	9.558E-4 	-	0.714	1.000	1.000	42	0	1	10
R0[1,11]	0.883 	8.950E-4 	-	0.851	1.000	1.000	43	0	1	11
R0[1,12]	0.846 	1.279E-3 	-	0.846	1.000	1.000	44	0	1	12
R0[1,13]	0.857 	1.303E-3 	-	0.845	1.000	1.000	45	0	1	13
R0[1,14]	0.923 	9.959E-4 	-	0.823	1.000	1.000	46	0	1	14
R0[1,15]	1.005 	8.679E-4 	-	0.711	1.000	1.000	47	0	1	15
R0[1,16]	1.002 	9.524E-4 	-	0.692	1.000	1.000	48	0	1	16
R0[1,17]	0.953 	1.054E-3 	-	0.723	1.000	1.000	49	0	1	17
R0[1,18]	0.933 	1.256E-3 	-	0.758	1.000	1.000	50	0	1	18
R0[1,19]	0.909 	9.819E-4 	-	0.746	1.000	1.000	51	0	1	19
R0[1,21]	1.104 	6.252E-4 	-	0.698	1.000	1.000	53	0	1	21
R0[1,22]	1.032 	7.845E-4 	-	0.710	1.000	1.000	54	0	1	22
R0[1,23]	0.929 	7.615E-4 	-	0.739	1.000	1.000	55	0	1	23
