# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2016-12-03_HA_F354-88_0005_82-062
# Object: omc1_c
# Date: 2016-12-03T08:21:01.970 (MJD: 57725.348740208334)
# Project: 88_0005_82
# Exposure: 29.962799999999998 s.
# Equatorial: 05h35m13.921s -05d22m22.81s (J2000.0)
# Horizontal: 133d29m39.79s 42d43m03.84s
# CRUSH version: 2.34-3 (devel.1)
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[0,0]	0.000 	0.000E0 	gn	0.259	1.000	1.000	0	0	0	0
R0[0,1]	0.656 	2.406E-3 	B	0.032	1.000	1.000	1	0	0	1
R0[0,2]	0.138 	1.917E-2 	g	0.082	1.000	1.000	2	0	0	2
R0[0,3]	0.967 	5.639E-4 	B	0.005	1.000	1.000	3	0	0	3
R0[0,4]	0.000 	7.195E-3 	gn	-28.310	1.000	1.000	4	0	0	4
R0[0,5]	0.000 	7.441E-3 	gn	-812.668	1.000	1.000	5	0	0	5
R0[0,7]	0.619 	3.738E-3 	-	0.294	1.000	1.000	7	0	0	7
R0[0,8]	0.641 	3.432E-3 	-	0.388	1.000	1.000	8	0	0	8
R0[0,9]	0.796 	1.919E-3 	-	0.428	1.000	1.000	9	0	0	9
R0[0,10]	0.001 	1.305E-2 	gn	-10.424	1.000	1.000	10	0	0	10
R0[0,11]	0.751 	3.065E-3 	-	0.586	1.000	1.000	11	0	0	11
R0[0,12]	0.703 	2.090E-3 	-	0.642	1.000	1.000	12	0	0	12
R0[0,13]	0.695 	3.034E-3 	-	0.711	1.000	1.000	13	0	0	13
R0[0,14]	0.001 	1.533E-2 	gn	-21.574	1.000	1.000	14	0	0	14
R0[0,15]	0.862 	2.032E-3 	-	0.629	1.000	1.000	15	0	0	15
R0[0,16]	0.837 	2.610E-3 	-	0.675	1.000	1.000	16	0	0	16
R0[0,17]	0.872 	1.175E-3 	-	0.697	1.000	1.000	17	0	0	17
R0[0,18]	0.955 	1.643E-3 	-	0.630	1.000	1.000	18	0	0	18
R0[0,19]	0.783 	2.049E-3 	-	0.742	1.000	1.000	19	0	0	19
R0[0,21]	1.087 	1.484E-3 	-	0.589	1.000	1.000	21	0	0	21
R0[0,22]	-0.000 	1.732E-2 	gn	801.482	1.000	1.000	22	0	0	22
R0[0,23]	0.772 	2.636E-3 	-	0.727	1.000	1.000	23	0	0	23
R0[0,24]	-0.327 	1.393E-7 	gn	22.401	1.000	1.000	24	0	0	24
R0[0,25]	0.848 	1.416E-3 	-	0.722	1.000	1.000	25	0	0	25
R0[0,26]	-0.001 	1.142E-2 	gn	40.814	1.000	1.000	26	0	0	26
R0[1,0]	0.710 	2.048E-3 	B	0.015	1.000	1.000	32	0	1	0
R0[1,1]	0.596 	1.422E-3 	B	0.037	1.000	1.000	33	0	1	1
R0[1,2]	0.568 	2.370E-3 	B	-0.008	1.000	1.000	34	0	1	2
R0[1,3]	0.594 	2.921E-3 	B	0.063	1.000	1.000	35	0	1	3
R0[1,4]	0.704 	3.394E-3 	B	0.092	1.000	1.000	36	0	1	4
R0[1,5]	0.790 	2.644E-3 	-	0.158	1.000	1.000	37	0	1	5
R0[1,7]	0.707 	2.330E-3 	-	0.370	1.000	1.000	39	0	1	7
R0[1,8]	0.735 	2.997E-3 	-	0.452	1.000	1.000	40	0	1	8
R0[1,9]	0.848 	2.415E-3 	-	0.490	1.000	1.000	41	0	1	9
R0[1,10]	0.918 	1.125E-3 	-	0.521	1.000	1.000	42	0	1	10
R0[1,11]	0.795 	2.050E-3 	-	0.629	1.000	1.000	43	0	1	11
R0[1,12]	0.798 	2.813E-3 	-	0.647	1.000	1.000	44	0	1	12
R0[1,13]	0.814 	2.872E-3 	-	0.685	1.000	1.000	45	0	1	13
R0[1,14]	0.874 	1.952E-3 	-	0.670	1.000	1.000	46	0	1	14
R0[1,15]	0.944 	1.748E-3 	-	0.658	1.000	1.000	47	0	1	15
R0[1,16]	0.970 	1.336E-3 	-	0.676	1.000	1.000	48	0	1	16
R0[1,17]	0.888 	1.760E-3 	-	0.689	1.000	1.000	49	0	1	17
R0[1,18]	0.917 	1.835E-3 	-	0.723	1.000	1.000	50	0	1	18
R0[1,19]	0.856 	2.029E-3 	-	0.720	1.000	1.000	51	0	1	19
R0[1,21]	1.015 	1.827E-3 	-	0.672	1.000	1.000	53	0	1	21
R0[1,22]	0.956 	1.447E-3 	-	0.717	1.000	1.000	54	0	1	22
R0[1,23]	0.891 	1.794E-3 	-	0.696	1.000	1.000	55	0	1	23
R0[1,24]	-0.000 	1.344E-2 	gn	50.078	1.000	1.000	56	0	1	24
R0[1,25]	0.942 	1.867E-3 	-	0.677	1.000	1.000	57	0	1	25
R0[1,26]	1.011 	1.177E-3 	-	0.649	1.000	1.000	58	0	1	26
R0[2,0]	0.000 	0.000E0 	gn	0.259	1.000	1.000	64	0	2	0
R0[2,1]	0.000 	0.000E0 	gn	0.259	1.000	1.000	65	0	2	1
R0[2,2]	0.000 	0.000E0 	gn	0.259	1.000	1.000	66	0	2	2
R0[2,3]	0.000 	0.000E0 	gn	0.259	1.000	1.000	67	0	2	3
R0[2,4]	0.000 	8.406E-3 	gn	-41.213	1.000	1.000	68	0	2	4
R0[2,5]	0.001 	7.941E-3 	gn	-28.825	1.000	1.000	69	0	2	5
R0[2,7]	0.001 	8.902E-3 	gn	-21.052	1.000	1.000	71	0	2	7
R0[2,8]	0.001 	1.403E-2 	gn	-14.588	1.000	1.000	72	0	2	8
R0[2,9]	0.001 	1.427E-2 	gn	-14.278	1.000	1.000	73	0	2	9
R0[2,10]	0.001 	1.308E-2 	gn	-13.993	1.000	1.000	74	0	2	10
